Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Arlington,Early,911.0,166.0,167.0,81.0,0.0,414.0,414.0,45.4,414.0
Blakely,Early,3445.0,298.0,821.0,278.0,3.0,1400.0,1400.0,40.6,1400.0
Cedar Springs,Early,1114.0,270.0,315.0,121.0,0.0,706.0,706.0,63.4,706.0
Cuba,Early,1180.0,198.0,370.0,111.0,0.0,679.0,679.0,57.5,679.0
Urquhart,Early,670.0,120.0,259.0,83.0,0.0,462.0,462.0,69.0,462.0
Shaw,Colquitt,3487.0,153.0,434.0,210.0,0.0,797.0,797.0,22.9,797.0
Moultrie,Colquitt,4809.0,455.0,1409.0,442.0,0.0,2306.0,2306.0,48.0,2306.0
Autreyville,Colquitt,1512.0,286.0,438.0,86.0,2.0,812.0,812.0,53.7,812.0
Bridgecreek,Colquitt,1191.0,276.0,452.0,90.0,2.0,820.0,820.0,68.8,820.0
Crosland,Colquitt,289.0,87.0,37.0,20.0,0.0,144.0,144.0,49.8,144.0
Doerun,Colquitt,619.0,182.0,128.0,32.0,0.0,342.0,342.0,55.3,342.0
Funston,Colquitt,1030.0,296.0,281.0,71.0,3.0,651.0,651.0,63.2,651.0
Hamilton,Colquitt,784.0,269.0,202.0,51.0,0.0,522.0,522.0,66.6,522.0
Hartsfield,Colquitt,408.0,174.0,87.0,43.0,1.0,305.0,305.0,74.8,305.0
Hopewell,Colquitt,1670.0,285.0,631.0,127.0,3.0,1046.0,1046.0,62.6,1046.0
Lee,Colquitt,1094.0,227.0,294.0,80.0,0.0,601.0,601.0,54.9,601.0
Millcreek,Colquitt,422.0,112.0,138.0,42.0,0.0,292.0,292.0,69.2,292.0
Monk,Colquitt,1555.0,356.0,474.0,110.0,0.0,940.0,940.0,60.5,940.0
Murphy,Colquitt,973.0,192.0,441.0,64.0,0.0,697.0,697.0,71.6,697.0
Norman Park,Colquitt,2586.0,452.0,736.0,193.0,0.0,1381.0,1381.0,53.4,1381.0
Robinson,Colquitt,860.0,239.0,212.0,55.0,0.0,506.0,506.0,58.8,506.0
Thigpen,Colquitt,251.0,101.0,44.0,18.0,0.0,163.0,163.0,64.9,163.0
Tyty,Colquitt,543.0,226.0,79.0,34.0,0.0,339.0,339.0,62.4,339.0
Warrior,Colquitt,971.0,283.0,260.0,67.0,0.0,610.0,610.0,62.8,610.0
Branchville,Mitchell,599.0,173.0,200.0,33.0,0.0,406.0,406.0,67.8,406.0
Cotton,Mitchell,399.0,188.0,72.0,36.0,0.0,296.0,296.0,74.2,296.0
Hopeful,Mitchell,350.0,99.0,95.0,26.0,2.0,222.0,222.0,63.4,222.0
Hinsonton,Mitchell,134.0,78.0,20.0,7.0,0.0,105.0,105.0,78.4,105.0
Lester,Mitchell,1357.0,286.0,339.0,141.0,0.0,766.0,766.0,56.4,766.0
Pebble City,Mitchell,162.0,68.0,29.0,16.0,0.0,113.0,113.0,69.8,113.0
Pelham,Mitchell,3489.0,342.0,819.0,322.0,0.0,1483.0,1483.0,42.5,1483.0
Sale City,Mitchell,384.0,145.0,55.0,32.0,0.0,232.0,232.0,60.4,232.0
Mt Pleasant,Decatur,564.0,130.0,231.0,50.0,0.0,411.0,411.0,72.9,411.0
Recovery,Decatur,678.0,175.0,161.0,98.0,2.0,436.0,436.0,64.3,436.0
Kendrick,Decatur,566.0,137.0,176.0,35.0,1.0,349.0,349.0,61.7,349.0
Climax,Decatur,975.0,214.0,350.0,74.0,2.0,640.0,640.0,65.6,640.0
Brinson,Decatur,836.0,167.0,297.0,67.0,0.0,531.0,531.0,63.5,531.0
West Bainbridge,Decatur,2238.0,182.0,751.0,175.0,1.0,1109.0,1109.0,49.6,1109.0
Bainbridge-Coliseum,Decatur,5641.0,421.0,2163.0,570.0,3.0,3157.0,3157.0,56.0,3157.0
BDGE-Fairgrounds,Decatur,3308.0,256.0,1079.0,251.0,1.0,1587.0,1587.0,48.0,1587.0
Attapulgus,Decatur,1812.0,211.0,409.0,201.0,1.0,822.0,822.0,45.4,822.0
Blowing Cave,Grady,916.0,187.0,311.0,53.0,5.0,556.0,556.0,60.7,556.0
Cairo 4th District,Grady,2532.0,147.0,464.0,205.0,1.0,817.0,817.0,32.3,817.0
Cairo 5th District,Grady,2606.0,234.0,814.0,252.0,3.0,1303.0,1303.0,50.0,1303.0
Duncanville,Grady,470.0,80.0,151.0,53.0,0.0,284.0,284.0,60.4,284.0
Higdon,Grady,854.0,210.0,181.0,103.0,0.0,494.0,494.0,57.8,494.0
Limesink,Grady,320.0,63.0,124.0,32.0,0.0,219.0,219.0,68.4,219.0
Midway,Grady,1412.0,208.0,464.0,160.0,2.0,834.0,834.0,59.1,834.0
Pine Park,Grady,1003.0,197.0,285.0,82.0,2.0,566.0,566.0,56.4,566.0
Ragan,Grady,475.0,102.0,127.0,64.0,0.0,293.0,293.0,61.7,293.0
Spence,Grady,758.0,218.0,197.0,79.0,0.0,494.0,494.0,65.2,494.0
Spring Hill,Grady,561.0,123.0,209.0,62.0,0.0,394.0,394.0,70.2,394.0
Whigham,Grady,1226.0,236.0,351.0,114.0,0.0,701.0,701.0,57.2,701.0
Woodland,Grady,2309.0,323.0,956.0,228.0,0.0,1507.0,1507.0,65.3,1507.0
Colquitt-Miller,Miller,3912.0,577.0,1361.0,348.0,2.0,2288.0,2288.0,58.5,2288.0
Precinct 1,Seminole,1292.0,232.0,424.0,98.0,0.0,754.0,754.0,58.4,754.0
Precinct 2,Seminole,1122.0,131.0,407.0,76.0,0.0,614.0,614.0,54.7,614.0
Precinct 3,Seminole,1174.0,104.0,200.0,56.0,0.0,360.0,360.0,30.7,360.0
Precinct 4,Seminole,1121.0,257.0,341.0,67.0,0.0,665.0,665.0,59.3,665.0
Precinct 5,Seminole,1227.0,336.0,334.0,92.0,0.0,762.0,762.0,62.1,762.0
Central,Thomas,3523.0,235.0,1499.0,312.0,1.0,2047.0,2047.0,58.1,2047.0
Coolidge,Thomas,983.0,223.0,294.0,69.0,0.0,586.0,586.0,59.6,586.0
Douglass,Thomas,2448.0,164.0,489.0,133.0,0.0,786.0,786.0,32.1,786.0
LIttle Ochlocknee Baptist Church,Thomas,1132.0,221.0,489.0,90.0,0.0,800.0,800.0,70.7,800.0
Fire Station #2,Thomas,1404.0,142.0,625.0,178.0,0.0,945.0,945.0,67.3,945.0
Harper,Thomas,2001.0,112.0,428.0,143.0,0.0,683.0,683.0,34.1,683.0
Jerger,Thomas,1898.0,129.0,803.0,241.0,0.0,1173.0,1173.0,61.8,1173.0
Meigs,Thomas,864.0,187.0,184.0,68.0,1.0,440.0,440.0,50.9,440.0
Metcalfe,Thomas,299.0,84.0,79.0,23.0,0.0,186.0,186.0,62.2,186.0
New Covenant,Thomas,2155.0,245.0,921.0,193.0,0.0,1359.0,1359.0,63.1,1359.0
Ochlocknee,Thomas,1175.0,285.0,382.0,54.0,0.0,721.0,721.0,61.4,721.0
Remington Esc,Thomas,2190.0,190.0,819.0,231.0,0.0,1240.0,1240.0,56.6,1240.0
Resource Center,Thomas,1363.0,83.0,202.0,108.0,0.0,393.0,393.0,28.8,393.0
Scott,Thomas,2491.0,162.0,1079.0,234.0,1.0,1476.0,1476.0,59.3,1476.0
Merrillville,Thomas,701.0,67.0,293.0,45.0,0.0,405.0,405.0,57.8,405.0
Patten,Thomas,397.0,86.0,162.0,25.0,0.0,273.0,273.0,68.8,273.0
