Precinct,County,Registered Voters,Jenna Stewart Mashburn (I) (Rep)_Election Day Votes,Jenna Stewart Mashburn (I) (Rep)_Advanced Voting Votes,Jenna Stewart Mashburn (I) (Rep)_Absentee by Mail Votes,Jenna Stewart Mashburn (I) (Rep)_Provisional Votes,Jenna Stewart Mashburn (I) (Rep)_Choice Total,Total,Lamar Paris (I) (Dem)_Election Day Votes,Lamar Paris (I) (Dem)_Advanced Voting Votes,Lamar Paris (I) (Dem)_Absentee by Mail Votes,Lamar Paris (I) (Dem)_Provisional Votes,Lamar Paris (I) (Dem)_Choice Total,Greg Hogan (I) (Rep)_Election Day Votes,Greg Hogan (I) (Rep)_Advanced Voting Votes,Greg Hogan (I) (Rep)_Absentee by Mail Votes,Greg Hogan (I) (Rep)_Provisional Votes,Greg Hogan (I) (Rep)_Choice Total,Mike Davis (Rep)_Election Day Votes,Mike Davis (Rep)_Advanced Voting Votes,Mike Davis (Rep)_Absentee by Mail Votes,Mike Davis (Rep)_Provisional Votes,Mike Davis (Rep)_Choice Total,Eric Bisher (Ind)_Election Day Votes,Eric Bisher (Ind)_Advanced Voting Votes,Eric Bisher (Ind)_Absentee by Mail Votes,Eric Bisher (Ind)_Provisional Votes,Eric Bisher (Ind)_Choice Total,Steve A. Taylor (I) (Rep)_Election Day Votes,Steve A. Taylor (I) (Rep)_Advanced Voting Votes,Steve A. Taylor (I) (Rep)_Absentee by Mail Votes,Steve A. Taylor (I) (Rep)_Provisional Votes,Steve A. Taylor (I) (Rep)_Choice Total,calc_participation,Rep_total,Rep_steal,Dem_total,Ind_total
Courthouse Annex,Pulaski,5687.0,401.0,2409.0,437.0,1.0,3248.0,3248.0,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,,,
Blairsville,Union,2435.0,,,,,,1408.0,222.0,799.0,384.0,3.0,1408.0,,,,,,,,,,,,,,,,,,,,,57.8,,,1408.0,
Coosa,Union,2294.0,,,,,,1302.0,266.0,766.0,270.0,0.0,1302.0,,,,,,,,,,,,,,,,,,,,,56.8,,,1302.0,
Choestoe,Union,1377.0,,,,,,769.0,209.0,392.0,167.0,1.0,769.0,,,,,,,,,,,,,,,,,,,,,55.8,,,769.0,
Jones Creek,Union,1945.0,,,,,,1174.0,306.0,589.0,279.0,0.0,1174.0,,,,,,,,,,,,,,,,,,,,,60.4,,,1174.0,
Owltown,Union,1517.0,,,,,,877.0,186.0,465.0,226.0,0.0,877.0,,,,,,,,,,,,,,,,,,,,,57.8,,,877.0,
Ivy Log,Union,2008.0,,,,,,1158.0,266.0,608.0,284.0,0.0,1158.0,,,,,,,,,,,,,,,,,,,,,57.7,,,1158.0,
Suches,Union,611.0,,,,,,330.0,185.0,67.0,78.0,0.0,330.0,,,,,,,,,,,,,,,,,,,,,54.0,,,330.0,
Trackrock,Union,1110.0,,,,,,604.0,146.0,315.0,143.0,0.0,604.0,,,,,,,,,,,,,,,,,,,,,54.4,,,604.0,
Dooley,Union,1531.0,,,,,,792.0,245.0,347.0,198.0,2.0,792.0,,,,,,,,,,,,,,,,,,,,,51.7,,,792.0,
Gumlog,Union,2143.0,,,,,,1184.0,291.0,619.0,274.0,0.0,1184.0,,,,,,,,,,,,,,,,,,,,,55.2,,,1184.0,
Pat Colwell,Union,2230.0,,,,,,1279.0,237.0,756.0,285.0,1.0,1279.0,,,,,,,,,,,,,,,,,,,,,57.4,,,1279.0,
McDonald,Murray,2524.0,,,,,,1466.0,,,,,,343.0,960.0,163.0,0.0,1466.0,,,,,,,,,,,,,,,,58.1,,,,
Shuck Pen,Murray,2940.0,,,,,,1752.0,,,,,,647.0,939.0,166.0,0.0,1752.0,,,,,,,,,,,,,,,,59.6,,,,
Southwest,Murray,3215.0,,,,,,1703.0,,,,,,677.0,809.0,217.0,0.0,1703.0,,,,,,,,,,,,,,,,53.0,,,,
Spring Place,Murray,3671.0,,,,,,2167.0,,,,,,540.0,1379.0,248.0,0.0,2167.0,,,,,,,,,,,,,,,,59.0,,,,
Town,Murray,5766.0,,,,,,3495.0,,,,,,688.0,2325.0,482.0,0.0,3495.0,,,,,,,,,,,,,,,,60.6,,,,
Carters-Doolittle,Murray,2045.0,,,,,,1190.0,,,,,,453.0,602.0,135.0,0.0,1190.0,,,,,,,,,,,,,,,,58.2,,,,
North,Murray,2123.0,,,,,,1341.0,,,,,,536.0,666.0,139.0,0.0,1341.0,,,,,,,,,,,,,,,,63.2,,,,
Fairground,Bleckley,0.0,,,,,,5476.0,,,,,,,,,,,756.0,2247.0,544.0,1.0,3548.0,453.0,1040.0,434.0,1.0,1928.0,,,,,,,,,,1928.0
Adairsville,Bartow,6995.0,,,,,,4136.0,,,,,,,,,,,,,,,,,,,,,884.0,2623.0,628.0,1.0,4136.0,59.1,,,,
Allatoona,Bartow,4729.0,,,,,,2281.0,,,,,,,,,,,,,,,,,,,,,627.0,1280.0,374.0,0.0,2281.0,48.2,,,,
Cartersville East,Bartow,6805.0,,,,,,3591.0,,,,,,,,,,,,,,,,,,,,,722.0,2073.0,795.0,1.0,3591.0,52.8,,,,
Cartersville West,Bartow,8129.0,,,,,,4928.0,,,,,,,,,,,,,,,,,,,,,703.0,3179.0,1045.0,1.0,4928.0,60.6,,,,
Cassville,Bartow,4588.0,,,,,,2725.0,,,,,,,,,,,,,,,,,,,,,506.0,1444.0,773.0,2.0,2725.0,59.4,,,,
Center,Bartow,4007.0,,,,,,2568.0,,,,,,,,,,,,,,,,,,,,,732.0,1353.0,481.0,2.0,2568.0,64.1,,,,
Emerson,Bartow,3122.0,,,,,,1748.0,,,,,,,,,,,,,,,,,,,,,624.0,802.0,321.0,1.0,1748.0,56.0,,,,
Euharlee,Bartow,5322.0,,,,,,3253.0,,,,,,,,,,,,,,,,,,,,,937.0,1825.0,490.0,1.0,3253.0,61.1,,,,
Folsom,Bartow,1448.0,,,,,,894.0,,,,,,,,,,,,,,,,,,,,,406.0,360.0,128.0,0.0,894.0,61.7,,,,
Hamilton Crossing,Bartow,6598.0,,,,,,3569.0,,,,,,,,,,,,,,,,,,,,,781.0,2338.0,449.0,1.0,3569.0,54.1,,,,
Kingston,Bartow,2674.0,,,,,,1632.0,,,,,,,,,,,,,,,,,,,,,664.0,694.0,274.0,0.0,1632.0,61.0,,,,
Mission Road,Bartow,4012.0,,,,,,2325.0,,,,,,,,,,,,,,,,,,,,,488.0,1393.0,441.0,3.0,2325.0,58.0,,,,
Pine Log,Bartow,2132.0,,,,,,1420.0,,,,,,,,,,,,,,,,,,,,,657.0,535.0,228.0,0.0,1420.0,66.6,,,,
Taylorsville,Bartow,2829.0,,,,,,1892.0,,,,,,,,,,,,,,,,,,,,,804.0,804.0,284.0,0.0,1892.0,66.9,,,,
White,Bartow,2723.0,,,,,,1689.0,,,,,,,,,,,,,,,,,,,,,662.0,768.0,258.0,1.0,1689.0,62.0,,,,
Zena Drive,Bartow,6431.0,,,,,,3006.0,,,,,,,,,,,,,,,,,,,,,668.0,1717.0,615.0,6.0,3006.0,46.7,,,,
Woodland,Bartow,1865.0,,,,,,1103.0,,,,,,,,,,,,,,,,,,,,,333.0,548.0,221.0,1.0,1103.0,59.1,,,,
