Precinct,County,Registered Voters,Bonnie Rich (I) (Rep)_Election Day Votes,Bonnie Rich (I) (Rep)_Advanced Voting Votes,Bonnie Rich (I) (Rep)_Absentee by Mail Votes,Bonnie Rich (I) (Rep)_Provisional Votes,Bonnie Rich (I) (Rep)_Choice Total,Mary Blackmon Campbell (Dem)_Election Day Votes,Mary Blackmon Campbell (Dem)_Advanced Voting Votes,Mary Blackmon Campbell (Dem)_Absentee by Mail Votes,Mary Blackmon Campbell (Dem)_Provisional Votes,Mary Blackmon Campbell (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
SUWANEE A,Gwinnett,1737.0,118.0,309.0,142.0,1.0,570.0,98.0,369.0,195.0,0.0,662.0,1232.0,70.9,570.0,662.0
DULUTH A,Gwinnett,5042.0,243.0,918.0,451.0,1.0,1613.0,210.0,1014.0,920.0,0.0,2144.0,3757.0,74.5,1613.0,2144.0
SUGAR HILL A,Gwinnett,4654.0,22.0,82.0,38.0,0.0,142.0,33.0,77.0,53.0,0.0,163.0,305.0,6.6,142.0,163.0
DULUTH C,Gwinnett,2229.0,143.0,239.0,131.0,0.0,513.0,90.0,222.0,211.0,0.0,523.0,1036.0,46.5,513.0,523.0
SUGAR HILL E,Gwinnett,3589.0,336.0,779.0,323.0,3.0,1441.0,144.0,644.0,378.0,3.0,1169.0,2610.0,72.7,1441.0,1169.0
DULUTH G,Gwinnett,3067.0,291.0,552.0,343.0,0.0,1186.0,158.0,469.0,446.0,2.0,1075.0,2261.0,73.7,1186.0,1075.0
SUGAR HILL F,Gwinnett,4112.0,402.0,875.0,342.0,4.0,1623.0,206.0,604.0,479.0,3.0,1292.0,2915.0,70.9,1623.0,1292.0
SUWANEE C,Gwinnett,5675.0,349.0,1087.0,510.0,3.0,1949.0,210.0,975.0,838.0,0.0,2023.0,3972.0,70.0,1949.0,2023.0
DULUTH H,Gwinnett,2813.0,168.0,467.0,312.0,1.0,948.0,150.0,454.0,488.0,1.0,1093.0,2041.0,72.6,948.0,1093.0
SUWANEE E,Gwinnett,4256.0,366.0,1116.0,474.0,1.0,1957.0,120.0,745.0,535.0,1.0,1401.0,3358.0,78.9,1957.0,1401.0
DULUTH I,Gwinnett,5105.0,269.0,835.0,504.0,0.0,1608.0,137.0,581.0,676.0,0.0,1394.0,3002.0,58.8,1608.0,1394.0
SUWANEE H,Gwinnett,3785.0,340.0,1208.0,508.0,0.0,2056.0,102.0,510.0,403.0,1.0,1016.0,3072.0,81.2,2056.0,1016.0
SUWANEE G,Gwinnett,3904.0,303.0,733.0,287.0,0.0,1323.0,210.0,817.0,538.0,0.0,1565.0,2888.0,74.0,1323.0,1565.0
