Precinct,County,Registered Voters,Le'Joi Williamson (Dem)_Election Day Votes,Le'Joi Williamson (Dem)_Advanced Voting Votes,Le'Joi Williamson (Dem)_Absentee by Mail Votes,Le'Joi Williamson (Dem)_Provisional Votes,Le'Joi Williamson (Dem)_Choice Total,Total,calc_participation,Dem_total
507,Richmond,968.0,161.0,239.0,146.0,1.0,547.0,547.0,56.5,547.0
509,Richmond,2172.0,233.0,640.0,460.0,5.0,1338.0,1338.0,61.6,1338.0
601,Richmond,3988.0,410.0,917.0,602.0,14.0,1943.0,1943.0,48.7,1943.0
603,Richmond,3570.0,482.0,662.0,501.0,2.0,1647.0,1647.0,46.1,1647.0
604,Richmond,1811.0,272.0,346.0,265.0,0.0,883.0,883.0,48.8,883.0
605,Richmond,3880.0,457.0,787.0,637.0,1.0,1882.0,1882.0,48.5,1882.0
607,Richmond,1812.0,200.0,547.0,423.0,1.0,1171.0,1171.0,64.6,1171.0
608,Richmond,1472.0,214.0,305.0,208.0,1.0,728.0,728.0,49.5,728.0
701,Richmond,2403.0,281.0,556.0,409.0,2.0,1248.0,1248.0,51.9,1248.0
702,Richmond,1943.0,273.0,437.0,252.0,0.0,962.0,962.0,49.5,962.0
703,Richmond,4644.0,537.0,1062.0,602.0,6.0,2207.0,2207.0,47.5,2207.0
705,Richmond,2276.0,238.0,564.0,415.0,1.0,1218.0,1218.0,53.5,1218.0
706,Richmond,3315.0,273.0,935.0,560.0,2.0,1770.0,1770.0,53.4,1770.0
707,Richmond,2122.0,316.0,537.0,260.0,2.0,1115.0,1115.0,52.5,1115.0
708,Richmond,305.0,17.0,93.0,34.0,0.0,144.0,144.0,47.2,144.0
709,Richmond,576.0,53.0,143.0,115.0,0.0,311.0,311.0,54.0,311.0
801,Richmond,523.0,101.0,48.0,70.0,1.0,220.0,220.0,42.1,220.0
801B,Richmond,523.0,121.0,36.0,64.0,0.0,221.0,221.0,42.3,221.0
802,Richmond,3251.0,570.0,464.0,415.0,2.0,1451.0,1451.0,44.6,1451.0
803,Richmond,252.0,31.0,38.0,29.0,1.0,99.0,99.0,39.3,99.0
804,Richmond,2096.0,256.0,519.0,317.0,0.0,1092.0,1092.0,52.1,1092.0
804H,Richmond,2863.0,383.0,619.0,460.0,5.0,1467.0,1467.0,51.2,1467.0
805,Richmond,798.0,101.0,228.0,129.0,1.0,459.0,459.0,57.5,459.0
806,Richmond,1212.0,188.0,252.0,155.0,1.0,596.0,596.0,49.2,596.0
807,Richmond,1578.0,179.0,371.0,277.0,1.0,828.0,828.0,52.5,828.0
808,Richmond,2366.0,349.0,581.0,379.0,1.0,1310.0,1310.0,55.4,1310.0
809,Richmond,879.0,82.0,319.0,198.0,2.0,601.0,601.0,68.4,601.0
810,Richmond,425.0,40.0,126.0,68.0,0.0,234.0,234.0,55.1,234.0
