Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
Clarkston Community Center,DeKalb,2495.0,226.0,591.0,321.0,9.0,1147.0,22.0,67.0,67.0,0.0,156.0,1303.0,52.2
Chamblee 2,DeKalb,3137.0,174.0,1111.0,603.0,0.0,1888.0,35.0,249.0,101.0,0.0,385.0,2273.0,72.5
Doraville North,DeKalb,3065.0,312.0,747.0,418.0,5.0,1482.0,63.0,107.0,69.0,2.0,241.0,1723.0,56.2
Doraville South,DeKalb,1255.0,135.0,323.0,200.0,2.0,660.0,22.0,44.0,48.0,0.0,114.0,774.0,61.7
Dresden Elem,DeKalb,5141.0,415.0,1360.0,882.0,7.0,2664.0,66.0,241.0,160.0,0.0,467.0,3131.0,60.9
Decatur,DeKalb,1937.0,84.0,799.0,428.0,1.0,1312.0,15.0,94.0,69.0,0.0,178.0,1490.0,76.9
Dunaire Elem,DeKalb,2268.0,185.0,584.0,382.0,6.0,1157.0,23.0,79.0,54.0,1.0,157.0,1314.0,57.9
Dunwoody,DeKalb,3003.0,174.0,969.0,547.0,5.0,1695.0,36.0,172.0,107.0,2.0,317.0,2012.0,67.0
Dunwoody 2,DeKalb,2044.0,118.0,741.0,402.0,4.0,1265.0,38.0,169.0,77.0,1.0,285.0,1550.0,75.8
Druid Hills High,DeKalb,2725.0,136.0,612.0,603.0,1.0,1352.0,36.0,75.0,91.0,0.0,202.0,1554.0,57.0
Dunwoody Library,DeKalb,2570.0,97.0,1014.0,513.0,2.0,1626.0,31.0,237.0,105.0,0.0,373.0,1999.0,77.8
East Lake,DeKalb,4139.0,223.0,1427.0,845.0,3.0,2498.0,36.0,168.0,95.0,4.0,303.0,2801.0,67.7
Embry Hills,DeKalb,1721.0,109.0,532.0,399.0,0.0,1040.0,24.0,116.0,87.0,0.0,227.0,1267.0,73.6
Evansdale Elem,DeKalb,3441.0,252.0,1047.0,726.0,3.0,2028.0,52.0,167.0,96.0,0.0,315.0,2343.0,68.1
Emory South,DeKalb,3241.0,199.0,996.0,828.0,6.0,2029.0,31.0,109.0,115.0,0.0,255.0,2284.0,70.5
Emory Road,DeKalb,2290.0,120.0,590.0,386.0,7.0,1103.0,13.0,36.0,53.0,0.0,102.0,1205.0,52.6
Fairington Elem,DeKalb,5455.0,410.0,1460.0,567.0,17.0,2454.0,49.0,136.0,87.0,1.0,273.0,2727.0,50.0
Fernbank Elem,DeKalb,2125.0,132.0,632.0,703.0,3.0,1470.0,29.0,93.0,111.0,1.0,234.0,1704.0,80.2
Flat Shoals Elem,DeKalb,2409.0,188.0,590.0,345.0,8.0,1131.0,18.0,56.0,52.0,0.0,126.0,1257.0,52.2
Flat Shoals Parkway,DeKalb,3449.0,189.0,1225.0,644.0,4.0,2062.0,18.0,103.0,98.0,2.0,221.0,2283.0,66.2
Flat Rock Elem,DeKalb,3142.0,236.0,1198.0,449.0,7.0,1890.0,25.0,144.0,79.0,0.0,248.0,2138.0,68.0
Flat Shoals,DeKalb,2649.0,177.0,583.0,391.0,5.0,1156.0,20.0,76.0,55.0,3.0,154.0,1310.0,49.5
Flakes Mill Fire Station,DeKalb,2103.0,117.0,689.0,349.0,7.0,1162.0,9.0,80.0,77.0,1.0,167.0,1329.0,63.2
Flat Shoals Library,DeKalb,2788.0,220.0,662.0,367.0,3.0,1252.0,27.0,77.0,44.0,0.0,148.0,1400.0,50.2
Freedom Middle,DeKalb,3227.0,288.0,817.0,476.0,9.0,1590.0,31.0,82.0,92.0,0.0,205.0,1795.0,55.6
Glennwood,DeKalb,2715.0,86.0,802.0,742.0,5.0,1635.0,21.0,108.0,102.0,0.0,231.0,1866.0,68.7
Glenhaven,DeKalb,1880.0,218.0,468.0,280.0,3.0,969.0,30.0,41.0,44.0,1.0,116.0,1085.0,57.7
Gresham Road,DeKalb,3601.0,201.0,1076.0,661.0,14.0,1952.0,26.0,105.0,100.0,3.0,234.0,2186.0,60.7
Georgetown Sq,DeKalb,4155.0,272.0,1343.0,599.0,6.0,2220.0,63.0,238.0,114.0,3.0,418.0,2638.0,63.5
Glenwood Road,DeKalb,2293.0,196.0,522.0,344.0,4.0,1066.0,18.0,39.0,57.0,0.0,114.0,1180.0,51.5
Hambrick Elem,DeKalb,3776.0,301.0,1030.0,550.0,10.0,1891.0,38.0,132.0,120.0,1.0,291.0,2182.0,57.8
Hawthorne Elem,DeKalb,3884.0,312.0,1228.0,668.0,4.0,2212.0,43.0,160.0,92.0,2.0,297.0,2509.0,64.6
Henderson Mill,DeKalb,3104.0,203.0,965.0,723.0,2.0,1893.0,39.0,167.0,101.0,0.0,307.0,2200.0,70.9
Huntley Hills Elem,DeKalb,3508.0,320.0,1135.0,480.0,4.0,1939.0,62.0,174.0,91.0,1.0,328.0,2267.0,64.6
Hugh Howell,DeKalb,1773.0,172.0,549.0,377.0,1.0,1099.0,40.0,119.0,78.0,0.0,237.0,1336.0,75.4
Harris-Narvie J Harris Elem,DeKalb,4031.0,167.0,1487.0,668.0,9.0,2331.0,16.0,132.0,104.0,1.0,253.0,2584.0,64.1
Harris-Margaret Harris ED,DeKalb,1462.0,127.0,450.0,289.0,5.0,871.0,21.0,66.0,49.0,0.0,136.0,1007.0,68.9
Idlewood Elem,DeKalb,2472.0,242.0,730.0,365.0,8.0,1345.0,19.0,90.0,75.0,0.0,184.0,1529.0,61.9
Indian Creek,DeKalb,2318.0,172.0,493.0,343.0,12.0,1020.0,12.0,52.0,45.0,1.0,110.0,1130.0,48.7
Johnson Estates,DeKalb,1600.0,62.0,507.0,553.0,0.0,1122.0,9.0,65.0,56.0,0.0,130.0,1252.0,78.2
Jolly Elem,DeKalb,3679.0,267.0,867.0,567.0,13.0,1714.0,36.0,110.0,105.0,2.0,253.0,1967.0,53.5
Kelley Lake Elem,DeKalb,3015.0,261.0,687.0,489.0,3.0,1440.0,28.0,77.0,72.0,0.0,177.0,1617.0,53.6
Kingsley Elem,DeKalb,2490.0,211.0,791.0,572.0,6.0,1580.0,44.0,162.0,128.0,3.0,337.0,1917.0,77.0
Kelley Chapel Road,DeKalb,1337.0,116.0,430.0,250.0,0.0,796.0,15.0,31.0,62.0,1.0,109.0,905.0,67.7
Knollwood,DeKalb,2546.0,239.0,619.0,385.0,10.0,1253.0,40.0,69.0,81.0,0.0,190.0,1443.0,56.7
Kittredge Elem,DeKalb,2161.0,136.0,700.0,474.0,4.0,1314.0,41.0,212.0,104.0,0.0,357.0,1671.0,77.3
Lakeside High,DeKalb,3216.0,244.0,1047.0,698.0,1.0,1990.0,52.0,187.0,173.0,1.0,413.0,2403.0,74.7
Lavista Road,DeKalb,2223.0,144.0,562.0,599.0,4.0,1309.0,37.0,87.0,136.0,0.0,260.0,1569.0,70.6
Lavista,DeKalb,3223.0,221.0,840.0,618.0,8.0,1687.0,46.0,121.0,86.0,0.0,253.0,1940.0,60.2
Lithonia,DeKalb,1730.0,217.0,361.0,185.0,3.0,766.0,33.0,46.0,35.0,0.0,114.0,880.0,50.9
Lin-Mary Lin Elem,DeKalb,3009.0,136.0,994.0,875.0,6.0,2011.0,25.0,109.0,87.0,1.0,222.0,2233.0,74.2
Lithonia High,DeKalb,3610.0,330.0,1001.0,461.0,11.0,1803.0,32.0,94.0,70.0,2.0,198.0,2001.0,55.4
Livsey Elem,DeKalb,1350.0,97.0,472.0,303.0,0.0,872.0,22.0,94.0,56.0,0.0,172.0,1044.0,77.3
Miller-Eldridge L Miller Elem,DeKalb,3455.0,285.0,882.0,607.0,7.0,1781.0,31.0,92.0,98.0,1.0,222.0,2003.0,58.0
McNair High,DeKalb,4160.0,263.0,1312.0,830.0,4.0,2409.0,32.0,128.0,126.0,1.0,287.0,2696.0,64.8
Marbut Elem,DeKalb,4234.0,298.0,1292.0,553.0,13.0,2156.0,35.0,132.0,69.0,6.0,242.0,2398.0,56.6
McNair,DeKalb,2794.0,171.0,757.0,522.0,4.0,1454.0,19.0,82.0,65.0,1.0,167.0,1621.0,58.0
McLendon,DeKalb,3607.0,190.0,995.0,796.0,5.0,1986.0,29.0,139.0,138.0,2.0,308.0,2294.0,63.6
McWilliams,DeKalb,2517.0,138.0,870.0,473.0,3.0,1484.0,20.0,103.0,83.0,0.0,206.0,1690.0,67.1
Medlock,DeKalb,2208.0,136.0,637.0,634.0,2.0,1409.0,47.0,111.0,97.0,0.0,255.0,1664.0,75.4
Midvale Elem,DeKalb,2747.0,191.0,909.0,675.0,4.0,1779.0,50.0,180.0,143.0,0.0,373.0,2152.0,78.3
Miller Grove,DeKalb,4747.0,320.0,1270.0,598.0,11.0,2199.0,25.0,124.0,83.0,3.0,235.0,2434.0,51.3
Montclair Elem,DeKalb,2194.0,206.0,610.0,223.0,4.0,1043.0,37.0,70.0,26.0,1.0,134.0,1177.0,53.6
Montreal,DeKalb,2586.0,212.0,814.0,469.0,3.0,1498.0,31.0,78.0,82.0,0.0,191.0,1689.0,65.3
Meadowview,DeKalb,3511.0,202.0,901.0,629.0,10.0,1742.0,30.0,93.0,121.0,2.0,246.0,1988.0,56.6
Memorial South,DeKalb,3138.0,224.0,663.0,318.0,14.0,1219.0,38.0,76.0,56.0,2.0,172.0,1391.0,44.3
Midway,DeKalb,3139.0,172.0,691.0,524.0,6.0,1393.0,25.0,83.0,100.0,1.0,209.0,1602.0,51.0
McNair Academy,DeKalb,1900.0,124.0,567.0,393.0,2.0,1086.0,20.0,53.0,55.0,3.0,131.0,1217.0,64.1
Mount Vernon East,DeKalb,2651.0,219.0,951.0,492.0,3.0,1665.0,34.0,223.0,107.0,0.0,364.0,2029.0,76.5
Mathis-Bob Mathis Elem,DeKalb,2789.0,206.0,841.0,597.0,5.0,1649.0,16.0,113.0,87.0,0.0,216.0,1865.0,66.9
