Precinct,County,Registered Voters,Eric Dierks (Rep)_Election Day Votes,Eric Dierks (Rep)_Advanced Voting Votes,Eric Dierks (Rep)_Absentee by Mail Votes,Eric Dierks (Rep)_Provisional Votes,Eric Dierks (Rep)_Choice Total,Donna McLeod (I) (Dem)_Election Day Votes,Donna McLeod (I) (Dem)_Advanced Voting Votes,Donna McLeod (I) (Dem)_Absentee by Mail Votes,Donna McLeod (I) (Dem)_Provisional Votes,Donna McLeod (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
HARBINS A,Gwinnett,7182.0,211.0,975.0,303.0,0.0,1489.0,151.0,663.0,417.0,0.0,1231.0,2720.0,37.9,1489.0,1231.0
LAWRENCEVILLE D,Gwinnett,5012.0,114.0,203.0,162.0,0.0,479.0,386.0,967.0,479.0,2.0,1834.0,2313.0,46.1,479.0,1834.0
LAWRENCEVILLE F,Gwinnett,4061.0,159.0,322.0,149.0,0.0,630.0,307.0,1164.0,611.0,3.0,2085.0,2715.0,66.9,630.0,2085.0
BAYCREEK K,Gwinnett,3824.0,160.0,665.0,334.0,0.0,1159.0,156.0,975.0,546.0,0.0,1677.0,2836.0,74.2,1159.0,1677.0
BAYCREEK C,Gwinnett,6499.0,311.0,996.0,358.0,1.0,1666.0,369.0,1808.0,896.0,0.0,3073.0,4739.0,72.9,1666.0,3073.0
BAYCREEK D,Gwinnett,4609.0,310.0,834.0,339.0,0.0,1483.0,202.0,1060.0,631.0,0.0,1893.0,3376.0,73.2,1483.0,1893.0
BAYCREEK F,Gwinnett,4608.0,223.0,545.0,218.0,3.0,989.0,294.0,1358.0,668.0,4.0,2324.0,3313.0,71.9,989.0,2324.0
BAYCREEK H,Gwinnett,6811.0,266.0,1010.0,365.0,1.0,1642.0,220.0,1177.0,662.0,0.0,2059.0,3701.0,54.3,1642.0,2059.0
BAYCREEK I,Gwinnett,5899.0,243.0,777.0,346.0,1.0,1367.0,329.0,1510.0,779.0,0.0,2618.0,3985.0,67.6,1367.0,2618.0
HARBINS C,Gwinnett,2850.0,367.0,596.0,175.0,1.0,1139.0,181.0,622.0,272.0,0.0,1075.0,2214.0,77.7,1139.0,1075.0
