Precinct,County,Registered Voters,"P. K. Martin, IV (I) (Rep)_Election Day Votes","P. K. Martin, IV (I) (Rep)_Advanced Voting Votes","P. K. Martin, IV (I) (Rep)_Absentee by Mail Votes","P. K. Martin, IV (I) (Rep)_Provisional Votes","P. K. Martin, IV (I) (Rep)_Choice Total",Nikki Merritt (Dem)_Election Day Votes,Nikki Merritt (Dem)_Advanced Voting Votes,Nikki Merritt (Dem)_Absentee by Mail Votes,Nikki Merritt (Dem)_Provisional Votes,Nikki Merritt (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
HARBINS A,Gwinnett,7182.0,388.0,1547.0,517.0,1.0,2453.0,319.0,1536.0,853.0,0.0,2708.0,5161.0,71.9,2453.0,2708.0
DACULA,Gwinnett,4777.0,248.0,937.0,265.0,0.0,1450.0,239.0,1082.0,582.0,0.0,1903.0,3353.0,70.2,1450.0,1903.0
BAYCREEK A,Gwinnett,2720.0,256.0,554.0,325.0,0.0,1135.0,122.0,491.0,351.0,0.0,964.0,2099.0,77.2,1135.0,964.0
CATES A,Gwinnett,2387.0,179.0,470.0,310.0,0.0,959.0,106.0,349.0,290.0,1.0,746.0,1705.0,71.4,959.0,746.0
GARNERS A,Gwinnett,3520.0,208.0,812.0,454.0,1.0,1475.0,129.0,685.0,428.0,1.0,1243.0,2718.0,77.2,1475.0,1243.0
LAWRENCEVILLE A,Gwinnett,3635.0,185.0,516.0,291.0,0.0,992.0,223.0,593.0,364.0,1.0,1181.0,2173.0,59.8,992.0,1181.0
LAWRENCEVILLE B,Gwinnett,5097.0,138.0,619.0,294.0,0.0,1051.0,213.0,1461.0,702.0,1.0,2377.0,3428.0,67.3,1051.0,2377.0
HOG MOUNTAIN B,Gwinnett,4583.0,386.0,1053.0,451.0,1.0,1891.0,178.0,760.0,619.0,0.0,1557.0,3448.0,75.2,1891.0,1557.0
ROCKYCREEK A,Gwinnett,5939.0,100.0,359.0,127.0,0.0,586.0,18.0,148.0,68.0,0.0,234.0,820.0,13.8,586.0,234.0
CATES B,Gwinnett,1587.0,147.0,336.0,193.0,1.0,677.0,82.0,228.0,176.0,0.0,486.0,1163.0,73.3,677.0,486.0
HOG MOUNTAIN D,Gwinnett,3179.0,285.0,683.0,263.0,1.0,1232.0,141.0,480.0,379.0,0.0,1000.0,2232.0,70.2,1232.0,1000.0
BERKSHIRE D,Gwinnett,2945.0,154.0,513.0,321.0,1.0,989.0,108.0,587.0,490.0,1.0,1186.0,2175.0,73.9,989.0,1186.0
BERKSHIRE E,Gwinnett,1997.0,162.0,458.0,211.0,0.0,831.0,77.0,343.0,282.0,1.0,703.0,1534.0,76.8,831.0,703.0
CATES D,Gwinnett,3755.0,236.0,625.0,336.0,0.0,1197.0,179.0,820.0,561.0,1.0,1561.0,2758.0,73.4,1197.0,1561.0
CATES E,Gwinnett,2942.0,223.0,577.0,332.0,1.0,1133.0,137.0,578.0,463.0,1.0,1179.0,2312.0,78.6,1133.0,1179.0
