Precinct,County,Registered Voters,Curt Deal (I) (Rep)_Election Day Votes,Curt Deal (I) (Rep)_Advanced Voting Votes,Curt Deal (I) (Rep)_Absentee by Mail Votes,Curt Deal (I) (Rep)_Provisional Votes,Curt Deal (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Lockhart,Bulloch,720.0,184.0,85.0,30.0,1.0,300.0,300.0,41.7,300.0
Emit,Bulloch,3360.0,639.0,1026.0,337.0,1.0,2003.0,2003.0,59.6,2003.0
Statesboro,Bulloch,6312.0,272.0,879.0,310.0,2.0,1463.0,1463.0,23.2,1463.0
Portal,Bulloch,1735.0,44.0,60.0,22.0,0.0,126.0,126.0,7.3,126.0
Fair,Bulloch,6335.0,622.0,2091.0,651.0,3.0,3367.0,3367.0,53.1,3367.0
Church,Bulloch,5793.0,323.0,963.0,384.0,1.0,1671.0,1671.0,28.8,1671.0
Pittman Park,Bulloch,5279.0,453.0,879.0,275.0,0.0,1607.0,1607.0,30.4,1607.0
Leefield,Bulloch,1000.0,374.0,220.0,81.0,1.0,676.0,676.0,67.6,676.0
Blitch,Bulloch,1947.0,483.0,586.0,214.0,1.0,1284.0,1284.0,65.9,1284.0
Hagin,Bulloch,2403.0,440.0,486.0,194.0,3.0,1123.0,1123.0,46.7,1123.0
Brooklet,Bulloch,3351.0,750.0,1084.0,314.0,2.0,2150.0,2150.0,64.2,2150.0
Stilson,Bulloch,2137.0,636.0,461.0,175.0,1.0,1273.0,1273.0,59.6,1273.0
Bay,Bulloch,1610.0,556.0,379.0,140.0,0.0,1075.0,1075.0,66.8,1075.0
Nevils,Bulloch,1299.0,403.0,287.0,130.0,1.0,821.0,821.0,63.2,821.0
Sinkhole,Bulloch,488.0,199.0,69.0,49.0,0.0,317.0,317.0,65.0,317.0
Register,Bulloch,969.0,153.0,82.0,44.0,1.0,280.0,280.0,28.9,280.0
