Precinct,County,Registered Voters,William Grizzle (I)_Election Day Votes,William Grizzle (I)_Advanced Voting Votes,William Grizzle (I)_Absentee by Mail Votes,William Grizzle (I)_Provisional Votes,William Grizzle (I)_Choice Total,Total,"James """"Jimmy"""" Petty (I)_Election Day Votes","James """"Jimmy"""" Petty (I)_Advanced Voting Votes","James """"Jimmy"""" Petty (I)_Absentee by Mail Votes","James """"Jimmy"""" Petty (I)_Provisional Votes","James """"Jimmy"""" Petty (I)_Choice Total",calc_participation
Air Acres,Cherokee,3050.0,485.0,917.0,467.0,0.0,1869.0,1869.0,,,,,,61.3
Arnold Mill,Cherokee,4884.0,826.0,1611.0,714.0,0.0,3151.0,3151.0,,,,,,64.5
Avery,Cherokee,3592.0,468.0,1451.0,553.0,0.0,2472.0,2472.0,,,,,,68.8
Ball Ground,Cherokee,4065.0,519.0,1713.0,383.0,1.0,2616.0,2616.0,,,,,,64.4
Bascomb,Cherokee,4115.0,640.0,1313.0,499.0,0.0,2452.0,2452.0,,,,,,59.6
Bells,Cherokee,5906.0,760.0,1579.0,751.0,1.0,3091.0,3091.0,,,,,,52.3
Booth,Cherokee,3899.0,453.0,1378.0,599.0,0.0,2430.0,2430.0,,,,,,62.3
Bradshaw,Cherokee,4491.0,524.0,1792.0,713.0,0.0,3029.0,3029.0,,,,,,67.4
Bridgemill,Cherokee,5113.0,666.0,1978.0,697.0,0.0,3341.0,3341.0,,,,,,65.3
Canton,Cherokee,8213.0,727.0,2472.0,1306.0,0.0,4505.0,4505.0,,,,,,54.9
Carmel,Cherokee,4581.0,653.0,1096.0,590.0,2.0,2341.0,2341.0,,,,,,51.1
Clayton,Cherokee,4906.0,762.0,1749.0,649.0,1.0,3161.0,3161.0,,,,,,64.4
Conns Creek,Cherokee,895.0,256.0,281.0,73.0,0.0,610.0,610.0,,,,,,68.2
Deer Run,Cherokee,3035.0,614.0,812.0,395.0,1.0,1822.0,1822.0,,,,,,60.0
Dixie,Cherokee,5733.0,695.0,1608.0,772.0,0.0,3075.0,3075.0,,,,,,53.6
Freehome,Cherokee,5790.0,739.0,2280.0,892.0,0.0,3911.0,3911.0,,,,,,67.5
Hickory Flat,Cherokee,7334.0,819.0,2870.0,999.0,1.0,4689.0,4689.0,,,,,,63.9
Hightower,Cherokee,3483.0,484.0,1422.0,429.0,0.0,2335.0,2335.0,,,,,,67.0
Hillside,Cherokee,3155.0,398.0,1186.0,462.0,0.0,2046.0,2046.0,,,,,,64.8
Holly Springs,Cherokee,3262.0,494.0,962.0,341.0,1.0,1798.0,1798.0,,,,,,55.1
Kellogg,Cherokee,5482.0,859.0,1455.0,633.0,2.0,2949.0,2949.0,,,,,,53.8
Liberty,Cherokee,8350.0,902.0,2833.0,1030.0,0.0,4765.0,4765.0,,,,,,57.1
Little River,Cherokee,7480.0,773.0,2252.0,1454.0,0.0,4479.0,4479.0,,,,,,59.9
Macedonia,Cherokee,4853.0,671.0,1979.0,684.0,0.0,3334.0,3334.0,,,,,,68.7
Mountain Road,Cherokee,3078.0,589.0,998.0,416.0,1.0,2004.0,2004.0,,,,,,65.1
Neese,Cherokee,7642.0,893.0,2290.0,1142.0,1.0,4326.0,4326.0,,,,,,56.6
Oak Grove,Cherokee,3749.0,613.0,985.0,489.0,0.0,2087.0,2087.0,,,,,,55.7
R M Moore,Cherokee,3468.0,644.0,1181.0,397.0,0.0,2222.0,2222.0,,,,,,64.1
R T Jones,Cherokee,2525.0,239.0,772.0,255.0,1.0,1267.0,1267.0,,,,,,50.2
Rosecreek,Cherokee,3748.0,552.0,1288.0,486.0,0.0,2326.0,2326.0,,,,,,62.1
Salacoa,Cherokee,727.0,251.0,126.0,65.0,0.0,442.0,442.0,,,,,,60.8
Sixes,Cherokee,3101.0,445.0,1084.0,463.0,0.0,1992.0,1992.0,,,,,,64.2
Sutallee,Cherokee,2540.0,703.0,764.0,278.0,1.0,1746.0,1746.0,,,,,,68.7
Teasley,Cherokee,7981.0,1190.0,2862.0,947.0,1.0,5000.0,5000.0,,,,,,62.6
Toonigh,Cherokee,6641.0,759.0,2407.0,863.0,0.0,4029.0,4029.0,,,,,,60.7
Union Hill,Cherokee,4207.0,836.0,1489.0,609.0,2.0,2936.0,2936.0,,,,,,69.8
Univeter,Cherokee,5434.0,606.0,2105.0,656.0,0.0,3367.0,3367.0,,,,,,62.0
Victoria,Cherokee,3132.0,581.0,966.0,345.0,0.0,1892.0,1892.0,,,,,,60.4
Waleska,Cherokee,2875.0,569.0,796.0,462.0,0.0,1827.0,1827.0,,,,,,63.5
Wildcat,Cherokee,3215.0,541.0,1111.0,314.0,0.0,1966.0,1966.0,,,,,,61.2
Woodlands,Cherokee,3456.0,751.0,835.0,477.0,0.0,2063.0,2063.0,,,,,,59.7
Woodstock,Cherokee,7345.0,810.0,2187.0,955.0,3.0,3955.0,3955.0,,,,,,53.8
McDonald,Murray,2524.0,,,,,,1455.0,339.0,939.0,177.0,0.0,1455.0,57.6
