Precinct,County,Registered Voters,Matt Bryan (I) (Dem)_Election Day Votes,Matt Bryan (I) (Dem)_Advanced Voting Votes,Matt Bryan (I) (Dem)_Absentee by Mail Votes,Matt Bryan (I) (Dem)_Provisional Votes,Matt Bryan (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Anna,Baker,166.0,51.0,22.0,15.0,1.0,89.0,89.0,53.6,89.0
Elmodel,Baker,401.0,64.0,107.0,71.0,1.0,243.0,243.0,60.6,243.0
Hoggards Mill,Baker,351.0,65.0,67.0,47.0,0.0,179.0,179.0,51.0,179.0
Milford,Baker,270.0,67.0,55.0,35.0,0.0,157.0,157.0,58.1,157.0
Newton,Baker,1070.0,93.0,300.0,142.0,0.0,535.0,535.0,50.0,535.0
