Precinct,County,Registered Voters,Tracy K. Hall (Rep)_Election Day Votes,Tracy K. Hall (Rep)_Advanced Voting Votes,Tracy K. Hall (Rep)_Absentee by Mail Votes,Tracy K. Hall (Rep)_Provisional Votes,Tracy K. Hall (Rep)_Choice Total,Crystal Cleveland (Dem)_Election Day Votes,Crystal Cleveland (Dem)_Advanced Voting Votes,Crystal Cleveland (Dem)_Absentee by Mail Votes,Crystal Cleveland (Dem)_Provisional Votes,Crystal Cleveland (Dem)_Choice Total,Total,
Agri-Center,Sumter,2059,144,615,92,0,851,75,297,199,1,572,1423,
Airport,Sumter,1767,132,483,121,0,736,79,345,177,0,601,1337,
Andersonville,Sumter,434,163,79,24,1,267,28,35,27,0,90,357,
Browns Mill,Sumter,929,141,271,51,1,464,41,100,71,0,212,676,
Concord,Sumter,376,147,77,22,9,255,5,24,9,0,38,293,
GSW Conf Center,Sumter,3044,147,787,232,0,1166,126,499,264,2,891,2057,
Leslie,Sumter,1687,290,398,85,0,773,99,155,135,2,391,1164,
Plains,Sumter,1061,147,200,54,1,402,118,130,111,0,359,761,
Rec Dept,Sumter,2667,51,197,79,0,327,251,681,459,1,1392,1719,
Reese Park,Sumter,3064,62,226,96,0,384,236,667,424,0,1327,1711,
Thompson,Sumter,712,97,86,37,0,220,66,91,57,1,215,435,
