Precinct,County,Registered Voters,"Jessie L. Smith, Jr. (Dem)_Election Day Votes","Jessie L. Smith, Jr. (Dem)_Advanced Voting Votes","Jessie L. Smith, Jr. (Dem)_Absentee by Mail Votes","Jessie L. Smith, Jr. (Dem)_Provisional Votes","Jessie L. Smith, Jr. (Dem)_Choice Total",Total,
Agri-Center,Sumter,2059,68,342,130,0,540,540,
GSW Conf Center,Sumter,3044,5,39,5,0,49,49,
Rec Dept,Sumter,2667,218,624,408,0,1250,1250,
