Precinct,County,Registered Voters,Clay L. Jones (I) (Dem)_Election Day Votes,Clay L. Jones (I) (Dem)_Advanced Voting Votes,Clay L. Jones (I) (Dem)_Absentee by Mail Votes,Clay L. Jones (I) (Dem)_Provisional Votes,Clay L. Jones (I) (Dem)_Choice Total,Total,
Agri-Center,Sumter,2059,23,107,39,1,170,170,
Airport,Sumter,1767,6,32,11,0,49,49,
Andersonville,Sumter,434,134,84,41,0,259,259,
Browns Mill,Sumter,929,120,270,103,0,493,493,
Rec Dept,Sumter,2667,52,117,47,0,216,216,
Reese Park,Sumter,3064,138,410,293,0,841,841,
