Precinct,County,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,384,520,489,0,1393,149,544,433,0,1126,2519,,
1-05C JEA Building,Chatham,2106,243,309,251,1,804,128,338,269,1,736,1540,
1-06C Central Church of Christ2035,Chatham,363,354,341,1,1059,89,196,197,1,483,1542,,
1-08C Grace United Methodist Church1667,Chatham,310,250,207,0,767,102,194,132,1,429,1196,,
1-09C Immanuel Baptist Church 739,Chatham,91,61,43,2,197,62,90,90,1,243,440,,
1-10C St Thomas Episcopal Church1101,Chatham,357,212,205,2,776,34,61,61,0,156,932,,
1-12C Isle of Hope Baptist,Chatham,1909,546,443,358,1,1348,57,110,103,0,270,1618,
1-13C The Sanctuary,Chatham,1396,257,253,137,1,648,80,125,147,0,352,1000,
1-14C Compassion Christian Church1718,Chatham,244,373,273,1,891,73,150,152,0,375,1266,,
1-16C Ferguson Ave Baptist,Chatham,2905,610,674,351,4,1639,123,179,148,1,451,2090,
1-17C Islands Christian Church3136,Chatham,498,893,554,0,1945,75,180,317,1,573,2518,,
2-02C Blackshear Community Center1714,Chatham,58,98,75,1,232,201,232,189,8,630,862,,
2-03C W W Law Center,Chatham,1609,65,73,57,1,196,186,224,209,1,620,816,
2-04C Fellowship of Love Church3178,Chatham,67,57,52,0,176,417,581,574,1,1573,1749,,
2-05C Holy Spirit Lutheran Church2079,Chatham,59,99,66,1,225,274,440,315,3,1032,1257,,
2-06C Eli Whitney Complex,Chatham,759,27,38,12,0,77,120,105,87,3,315,392,
2-07C Christ Community Church 2808,Chatham,112,128,97,0,337,327,522,378,2,1229,1566,,
2-09C Salvation Army,Chatham,3342,117,130,107,0,354,368,682,567,4,1621,1975,
2-11C Stillwell Towers,Chatham,1900,55,72,54,0,181,302,248,244,3,797,978,
2-12C Williams Court Apts,Chatham,1683,67,80,40,0,187,167,312,265,4,748,935,
3-01C Old Courthouse,Chatham,458,52,55,62,0,169,19,57,53,1,130,299,
3-02C Temple Mickve Israel,Chatham,1598,146,260,183,2,591,60,230,220,0,510,1101,
