Precinct,County,Registered Voters,Sonya Jackson (Dem)_Election Day Votes,Sonya Jackson (Dem)_Advanced Voting Votes,Sonya Jackson (Dem)_Absentee by Mail Votes,Sonya Jackson (Dem)_Provisional Votes,Sonya Jackson (Dem)_Choice Total,Total,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,281,449,291,1,1022,1022,
3-14C Oglethorpe Charter Academy2381,Chatham,298,549,493,1,1341,1341,,
3-15C Eli Whitney Complex,Chatham,816,92,187,195,0,474,474,
4-02C Frank Murray Comm Center2472,Chatham,285,512,377,0,1174,1174,,
4-04C Lighthouse Baptist Church2470,Chatham,318,461,398,2,1179,1179,,
4-05C St Francis Episcopal Church2244,Chatham,356,436,335,0,1127,1127,,
4-06C First Baptist of the Island2252,Chatham,350,464,341,1,1156,1156,,
4-07C Wilmington Island UMC,Chatham,3370,417,658,558,2,1635,1635,
4-08C Wilmington Island Pres Church2678,Chatham,379,533,452,0,1364,1364,,
4-10C Guard House Comm Ctr,Chatham,1469,290,220,205,1,716,716,
4-11C Tybee Island School Cafe1640,Chatham,365,181,208,0,754,754,,
4-12C St Peters Episcopal,Chatham,2294,362,366,466,0,1194,1194,
4-13C Skidaway Island Pres Church2469,Chatham,282,398,544,0,1224,1224,,
4-14C Skidaway Island Baptist 1744,Chatham,205,289,428,1,923,923,,
4-15C Skidaway Island State Park0,Chatham,178,274,495,0,947,947,,
5-01C Bartlett Middle School,Chatham,1063,175,202,148,0,525,525,
5-02C Senior Citizens Center,Chatham,783,123,121,122,1,367,367,
5-03C Butler Presbyterian Church1078,Chatham,190,162,185,6,543,543,,
5-05C Liberty City Comm Ctr,Chatham,2574,440,571,583,3,1597,1597,
5-06C Seed Church,Chatham,2598,305,465,355,8,1133,1133,
5-07C Station 1,Chatham,1856,277,369,266,6,918,918,
5-08C Savannah Primitive BC,Chatham,1848,241,388,318,2,949,949,
5-10C Tatumville Community Center3507,Chatham,549,685,679,4,1917,1917,,
5-11C Largo-Tibet Elementary,Chatham,3019,362,664,442,7,1475,1475,
6-01C White Bluff Presbyterian1919,Chatham,264,397,274,4,939,939,,
6-02C Windsor Forest Baptist,Chatham,2290,360,467,383,1,1211,1211,
6-03C Crusader Comm Center,Chatham,2736,386,629,491,1,1507,1507,
6-05C Windsor Hall,Chatham,1993,274,401,295,0,970,970,
6-06C The Light Church,Chatham,1543,201,257,181,0,639,639,
6-08C Christ Memorial Baptist Church2194,Chatham,284,454,301,2,1041,1041,,
6-09C Trinity Lutheran Church 3319,Chatham,434,716,494,7,1651,1651,,
6-10C Station 3,Chatham,4184,493,1002,764,5,2264,2264,
6-11C Bamboo Farms,Chatham,5149,646,1204,741,6,2597,2597,
7-01C Garden City Senior Ctr,Chatham,1542,216,219,194,0,629,629,
7-03C PB Edwards Gym,Chatham,1290,269,118,116,0,503,503,
7-04C Lake Shore Comm Ctr,Chatham,3067,519,803,384,1,1707,1707,
7-05C Woodlawn Baptist Church 1305,Chatham,217,238,128,0,583,583,,
7-06C Pooler City Hall,Chatham,3555,330,793,459,1,1583,1583,
7-07C Rothwell Baptist Church 3932,Chatham,296,881,585,6,1768,1768,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,368,440,248,1,1057,1057,
7-09C Savannah Holy C of G,Chatham,2823,345,537,439,3,1324,1324,
7-10C Progressive Rec Center,Chatham,4288,484,995,600,6,2085,2085,
7-11C Seventh Day Adv Church,Chatham,6469,721,1557,932,10,3220,3220,
7-12C Pooler Church,Chatham,3334,309,994,610,3,1916,1916,
7-13C Southside Fire Trng Ctr 2513,Chatham,194,634,535,0,1363,1363,,
7-14C Coastal Cathedral,Chatham,7572,773,1862,1393,10,4038,4038,
7-15C Rice Creek School,Chatham,2564,416,537,288,3,1244,1244,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,269,987,651,7,1914,1914,,
8-01C Civic Center,Chatham,850,72,115,95,3,285,285,
8-02C Hellenic Center,Chatham,1709,233,382,254,1,870,870,
8-03C Silk Hope Baptist Church831,Chatham,128,80,76,0,284,284,,
8-05C W Broad St YMCA,Chatham,1543,283,215,165,1,664,664,
8-06C Tompkins Rec Center,Chatham,1055,198,152,162,1,513,513,
8-07C Woodville-Tompkins TI,Chatham,630,129,105,87,1,322,322,
8-08C Resur of Our Lord Church1704,Chatham,318,259,276,4,857,857,,
8-09C Moses Jackson Center,Chatham,1362,267,197,206,7,677,677,
8-10C Carver Heights Comm Ctr 1784,Chatham,354,266,352,0,972,972,,
8-11C Butler Elementary,Chatham,1386,261,314,359,0,934,934,
8-12C Beach High School,Chatham,1310,191,241,153,2,587,587,
8-13C Savannah Christian,Chatham,1022,90,83,65,2,240,240,
8-15C Garden City Rec Center,Chatham,1622,219,300,246,2,767,767,
8-16C Royal Cinemas and IMAX,Chatham,3087,273,812,589,3,1677,1677,
