Precinct,County,Registered Voters,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_Choice Total,Total,
7-03C PB Edwards Gym,Chatham,1290,355,160,106,0,621,621,
7-04C Lake Shore Comm Ctr,Chatham,3067,420,532,223,1,1176,1176,
7-06C Pooler City Hall,Chatham,3555,359,843,344,1,1547,1547,
7-07C Rothwell Baptist Church 3932,Chatham,354,1139,570,3,2066,2066,,
7-11C Seventh Day Adv Church,Chatham,6469,766,1338,650,9,2763,2763,
7-13C Southside Fire Trng Ctr 2513,Chatham,265,819,511,1,1596,1596,,
7-15C Rice Creek School,Chatham,2564,415,419,189,4,1027,1027,
8-16C Royal Cinemas and IMAX,Chatham,3087,299,843,472,2,1616,1616,
