Precinct,County,Registered Voters,Jason E. Buelterman (Rep)_Election Day Votes,Jason E. Buelterman (Rep)_Advanced Voting Votes,Jason E. Buelterman (Rep)_Absentee by Mail Votes,Jason E. Buelterman (Rep)_Provisional Votes,Jason E. Buelterman (Rep)_Choice Total,Chester A. Ellis (Dem)_Election Day Votes,Chester A. Ellis (Dem)_Advanced Voting Votes,Chester A. Ellis (Dem)_Absentee by Mail Votes,Chester A. Ellis (Dem)_Provisional Votes,Chester A. Ellis (Dem)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,386,546,462,0,1394,145,515,447,0,1107,2501,,
1-05C JEA Building,Chatham,2106,245,331,252,0,828,126,317,265,1,709,1537,
1-06C Central Church of Christ2035,Chatham,376,355,336,1,1068,80,188,201,1,470,1538,,
1-08C Grace United Methodist Church1667,Chatham,308,253,194,0,755,104,190,147,1,442,1197,,
1-09C Immanuel Baptist Church 739,Chatham,85,62,48,2,197,66,89,84,1,240,437,,
1-10C St Thomas Episcopal Church1101,Chatham,348,207,193,2,750,43,64,70,0,177,927,,
1-12C Isle of Hope Baptist,Chatham,1909,544,425,334,1,1304,57,125,121,0,303,1607,
1-13C The Sanctuary,Chatham,1396,266,256,130,1,653,71,121,155,0,347,1000,
1-14C Compassion Christian Church1718,Chatham,251,370,251,1,873,66,154,169,0,389,1262,,
1-16C Ferguson Ave Baptist,Chatham,2905,610,689,333,4,1636,117,162,159,1,439,2075,
1-17C Islands Christian Church3136,Chatham,497,890,560,0,1947,76,181,300,1,558,2505,,
2-02C Blackshear Community Center1714,Chatham,62,99,73,1,235,194,226,186,8,614,849,,
2-03C W W Law Center,Chatham,1609,65,75,52,1,193,180,222,212,1,615,808,
2-04C Fellowship of Love Church3178,Chatham,68,65,58,0,191,420,576,565,1,1562,1753,,
2-05C Holy Spirit Lutheran Church2079,Chatham,68,92,52,1,213,261,447,323,3,1034,1247,,
2-06C Eli Whitney Complex,Chatham,759,32,40,11,0,83,114,101,89,3,307,390,
2-07C Christ Community Church 2808,Chatham,110,113,86,0,309,320,530,393,2,1245,1554,,
2-09C Salvation Army,Chatham,3342,129,145,106,0,380,352,663,568,3,1586,1966,
2-11C Stillwell Towers,Chatham,1900,74,77,49,0,200,282,242,242,3,769,969,
2-12C Williams Court Apts,Chatham,1683,71,84,37,0,192,165,304,269,4,742,934,
3-01C Old Courthouse,Chatham,458,49,54,59,0,162,22,58,54,1,135,297,
3-02C Temple Mickve Israel,Chatham,1598,142,251,161,1,555,57,236,234,1,528,1083,
3-03C Savannah High School,Chatham,1185,21,33,25,0,79,188,199,127,5,519,598,
3-04C First African Baptist Church1558,Chatham,41,26,20,0,87,299,231,233,0,763,850,,
3-05C Aldersgate Youth Center 2107,Chatham,129,148,80,0,357,253,301,258,2,814,1171,,
3-08C Jenkins High School,Chatham,1210,100,105,60,0,265,112,222,175,0,509,774,
3-09C Cokesbury Methodist,Chatham,664,174,94,74,1,343,51,57,64,1,173,516,
3-10C Bible Baptist Church,Chatham,2640,120,96,83,1,300,373,494,415,1,1283,1583,
3-11C Southside Baptist Church1481,Chatham,63,77,58,1,199,230,251,186,2,669,868,,
3-12C Thunderbolt Muni Complex1678,Chatham,283,208,131,0,622,155,176,190,1,522,1144,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,187,273,170,0,630,180,324,213,1,718,1348,
3-14C Oglethorpe Charter Academy2381,Chatham,100,196,132,0,428,234,440,412,1,1087,1515,,
3-15C Eli Whitney Complex,Chatham,816,65,142,126,0,333,59,117,132,0,308,641,
4-02C Frank Murray Comm Center2472,Chatham,361,577,250,0,1188,81,190,209,0,480,1668,,
4-04C Lighthouse Baptist Church2470,Chatham,509,583,342,4,1438,68,135,187,0,390,1828,,
4-05C St Francis Episcopal Church2244,Chatham,524,531,311,1,1367,80,134,144,0,358,1725,,
4-06C First Baptist of the Island2252,Chatham,518,618,320,3,1459,56,109,149,0,314,1773,,
4-07C Wilmington Island UMC,Chatham,3370,582,800,488,4,1874,94,218,259,0,571,2445,
4-08C Wilmington Island Pres Church2678,Chatham,579,755,474,1,1809,62,119,188,1,370,2179,,
4-10C Guard House Comm Ctr,Chatham,1469,442,303,249,1,995,47,56,49,1,153,1148,
4-11C Tybee Island School Cafe1640,Chatham,603,226,252,1,1082,68,56,57,0,181,1263,,
4-12C St Peters Episcopal,Chatham,2294,606,487,458,3,1554,61,112,217,0,390,1944,
4-13C Skidaway Island Pres Church2469,Chatham,525,516,567,2,1610,49,160,266,0,475,2085,,
4-14C Skidaway Island Baptist 1744,Chatham,379,346,371,2,1098,39,108,234,0,381,1479,,
4-15C Skidaway Island State Park0,Chatham,311,350,496,4,1161,30,108,241,0,379,1540,,
5-01C Bartlett Middle School,Chatham,1063,76,55,50,0,181,137,171,121,0,429,610,
5-02C Senior Citizens Center,Chatham,783,31,18,16,0,65,106,111,116,1,334,399,
5-03C Butler Presbyterian Church1078,Chatham,15,9,6,0,30,182,160,182,6,530,560,,
5-05C Liberty City Comm Ctr,Chatham,2574,30,24,21,1,76,417,555,579,2,1553,1629,
5-06C Seed Church,Chatham,2598,81,90,54,2,227,262,421,333,6,1022,1249,
5-07C Station 1,Chatham,1856,103,105,77,1,286,214,315,223,5,757,1043,
5-08C Savannah Primitive BC,Chatham,1848,104,140,88,0,332,184,313,279,2,778,1110,
5-10C Tatumville Community Center3507,Chatham,46,55,33,0,134,530,662,666,5,1863,1997,,
5-11C Largo-Tibet Elementary,Chatham,3019,88,141,199,2,430,314,599,365,7,1285,1715,
6-01C White Bluff Presbyterian1919,Chatham,160,173,124,3,460,175,311,205,2,693,1153,,
6-02C Windsor Forest Baptist,Chatham,2290,419,445,290,0,1154,126,249,242,1,618,1772,
6-03C Crusader Comm Center,Chatham,2736,301,369,206,1,877,205,432,390,1,1028,1905,
6-05C Windsor Hall,Chatham,1993,156,193,137,0,486,202,310,235,0,747,1233,
6-06C The Light Church,Chatham,1543,144,223,127,0,494,136,171,114,0,421,915,
6-08C Christ Memorial Baptist Church2194,Chatham,100,151,102,0,353,224,384,259,2,869,1222,,
6-09C Trinity Lutheran Church 3319,Chatham,342,477,337,1,1157,248,496,326,7,1077,2234,,
6-10C Station 3,Chatham,4184,410,729,375,2,1516,242,609,543,4,1398,2914,
6-11C Bamboo Farms,Chatham,5149,349,503,217,4,1073,419,933,618,5,1975,3048,
7-01C Garden City Senior Ctr,Chatham,1542,202,195,118,0,515,105,137,133,0,375,890,
7-03C PB Edwards Gym,Chatham,1290,319,132,82,0,533,86,58,75,0,219,752,
7-04C Lake Shore Comm Ctr,Chatham,3067,206,196,65,0,467,385,703,345,1,1434,1901,
7-05C Woodlawn Baptist Church 1305,Chatham,134,132,49,0,315,141,176,105,0,422,737,,
7-06C Pooler City Hall,Chatham,3555,249,618,214,1,1082,182,492,349,1,1024,2106,
7-07C Rothwell Baptist Church 3932,Chatham,286,959,424,5,1674,120,423,365,3,911,2585,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,529,658,228,0,1415,74,113,122,1,310,1725,
7-09C Savannah Holy C of G,Chatham,2823,250,331,204,1,786,203,365,314,3,885,1671,
7-10C Progressive Rec Center,Chatham,4288,290,479,203,2,974,317,739,495,6,1557,2531,
7-11C Seventh Day Adv Church,Chatham,6469,480,772,302,6,1560,433,1188,751,7,2379,3939,
7-12C Pooler Church,Chatham,3334,186,576,250,4,1016,169,660,442,0,1271,2287,
7-13C Southside Fire Trng Ctr 2513,Chatham,243,752,431,1,1427,58,235,322,0,615,2042,,
7-14C Coastal Cathedral,Chatham,7572,414,843,547,1,1805,558,1457,1108,9,3132,4937,
7-15C Rice Creek School,Chatham,2564,260,216,82,3,561,267,432,256,2,957,1518,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,236,889,452,7,1584,112,529,410,6,1057,2641,,
8-01C Civic Center,Chatham,850,21,42,25,0,88,60,89,80,3,232,320,
8-02C Hellenic Center,Chatham,1709,89,97,59,0,245,181,328,222,1,732,977,
8-03C Silk Hope Baptist Church831,Chatham,168,104,46,0,318,49,46,55,0,150,468,,
8-05C W Broad St YMCA,Chatham,1543,18,8,11,0,37,269,210,159,1,639,676,
8-06C Tompkins Rec Center,Chatham,1055,19,11,5,1,36,186,141,155,2,484,520,
8-07C Woodville-Tompkins TI,Chatham,630,14,5,8,0,27,121,102,83,1,307,334,
8-08C Resur of Our Lord Church1704,Chatham,17,12,14,0,43,308,253,265,4,830,873,,
8-09C Moses Jackson Center,Chatham,1362,14,10,11,0,35,260,192,200,5,657,692,
8-10C Carver Heights Comm Ctr 1784,Chatham,15,17,17,0,49,342,254,338,0,934,983,,
8-11C Butler Elementary,Chatham,1386,15,12,9,0,36,253,309,354,0,916,952,
8-12C Beach High School,Chatham,1310,44,61,25,1,131,157,205,143,1,506,637,
8-13C Savannah Christian,Chatham,1022,108,100,61,1,270,44,42,43,1,130,400,
8-15C Garden City Rec Center,Chatham,1622,30,37,22,1,90,200,282,235,1,718,808,
8-16C Royal Cinemas and IMAX,Chatham,3087,209,595,286,1,1091,138,494,419,2,1053,2144,
