Precinct,County,Registered Voters,Tammie Mosley (I) (Dem)_Election Day Votes,Tammie Mosley (I) (Dem)_Advanced Voting Votes,Tammie Mosley (I) (Dem)_Absentee by Mail Votes,Tammie Mosley (I) (Dem)_Provisional Votes,Tammie Mosley (I) (Dem)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,370,846,765,0,1981,1981,,
1-05C JEA Building,Chatham,2106,257,510,439,1,1207,1207,
1-06C Central Church of Christ2035,Chatham,281,368,390,2,1041,1041,,
1-08C Grace United Methodist Church1667,Chatham,240,313,253,1,807,807,,
1-09C Immanuel Baptist Church 739,Chatham,112,113,109,3,337,337,,
1-10C St Thomas Episcopal Church1101,Chatham,225,183,188,1,597,597,,
1-12C Isle of Hope Baptist,Chatham,1909,375,370,327,0,1072,1072,
1-13C The Sanctuary,Chatham,1396,213,228,219,0,660,660,
1-14C Compassion Christian Church1718,Chatham,212,348,305,0,865,865,,
1-16C Ferguson Ave Baptist,Chatham,2905,428,477,357,3,1265,1265,
1-17C Islands Christian Church3136,Chatham,372,674,637,1,1684,1684,,
2-02C Blackshear Community Center1714,Chatham,233,287,231,9,760,760,,
2-03C W W Law Center,Chatham,1609,223,260,245,2,730,730,
2-04C Fellowship of Love Church3178,Chatham,453,609,600,1,1663,1663,,
2-05C Holy Spirit Lutheran Church2079,Chatham,300,505,359,3,1167,1167,,
2-06C Eli Whitney Complex,Chatham,759,136,130,96,3,365,365,
2-07C Christ Community Church 2808,Chatham,391,596,439,2,1428,1428,,
2-09C Salvation Army,Chatham,3342,429,754,634,4,1821,1821,
2-11C Stillwell Towers,Chatham,1900,331,286,260,3,880,880,
2-12C Williams Court Apts,Chatham,1683,211,348,290,4,853,853,
3-01C Old Courthouse,Chatham,458,52,89,87,1,229,229,
3-02C Temple Mickve Israel,Chatham,1598,146,376,327,1,850,850,
3-03C Savannah High School,Chatham,1185,202,212,141,5,560,560,
3-04C First African Baptist Church1558,Chatham,327,247,242,0,816,816,,
3-05C Aldersgate Youth Center 2107,Chatham,318,376,310,2,1006,1006,,
3-08C Jenkins High School,Chatham,1210,168,272,206,0,646,646,
3-09C Cokesbury Methodist,Chatham,664,132,97,105,1,335,335,
3-10C Bible Baptist Church,Chatham,2640,439,536,470,2,1447,1447,
3-11C Southside Baptist Church1481,Chatham,267,290,216,2,775,775,,
3-12C Thunderbolt Muni Complex1678,Chatham,308,270,266,0,844,844,,
