Precinct,County,Registered Voters,John T. Wilcher (I) (Rep)_Election Day Votes,John T. Wilcher (I) (Rep)_Advanced Voting Votes,John T. Wilcher (I) (Rep)_Absentee by Mail Votes,John T. Wilcher (I) (Rep)_Provisional Votes,John T. Wilcher (I) (Rep)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,454,747,620,0,1821,1821,,
1-05C JEA Building,Chatham,2106,316,476,387,1,1180,1180,
1-06C Central Church of Christ2035,Chatham,404,453,388,1,1246,1246,,
1-08C Grace United Methodist Church1667,Chatham,343,340,249,1,933,933,,
1-09C Immanuel Baptist Church 739,Chatham,126,115,105,3,349,349,,
1-10C St Thomas Episcopal Church1101,Chatham,363,241,209,2,815,815,,
1-12C Isle of Hope Baptist,Chatham,1909,564,467,370,1,1402,1402,
1-13C The Sanctuary,Chatham,1396,304,324,203,1,832,832,
1-14C Compassion Christian Church1718,Chatham,283,447,326,1,1057,1057,,
1-16C Ferguson Ave Baptist,Chatham,2905,669,762,408,5,1844,1844,
1-17C Islands Christian Church3136,Chatham,521,952,638,1,2112,2112,,
2-02C Blackshear Community Center1714,Chatham,178,220,156,3,557,557,,
2-03C W W Law Center,Chatham,1609,166,187,143,2,498,498,
2-04C Fellowship of Love Church3178,Chatham,308,358,354,1,1021,1021,,
2-05C Holy Spirit Lutheran Church2079,Chatham,216,310,223,3,752,752,,
2-06C Eli Whitney Complex,Chatham,759,90,93,56,0,239,239,
2-07C Christ Community Church 2808,Chatham,287,374,295,1,957,957,,
2-09C Salvation Army,Chatham,3342,326,483,383,1,1193,1193,
2-11C Stillwell Towers,Chatham,1900,227,191,167,1,586,586,
2-12C Williams Court Apts,Chatham,1683,159,227,152,0,538,538,
3-01C Old Courthouse,Chatham,458,65,84,70,1,220,220,
3-02C Temple Mickve Israel,Chatham,1598,179,351,246,1,777,777,
3-03C Savannah High School,Chatham,1185,130,147,95,4,376,376,
3-04C First African Baptist Church1558,Chatham,209,162,137,0,508,508,,
3-05C Aldersgate Youth Center 2107,Chatham,272,293,217,0,782,782,,
3-08C Jenkins High School,Chatham,1210,162,217,156,0,535,535,
3-09C Cokesbury Methodist,Chatham,664,205,116,101,2,424,424,
3-10C Bible Baptist Church,Chatham,2640,317,354,299,2,972,972,
3-11C Southside Baptist Church1481,Chatham,187,204,169,3,563,563,,
3-12C Thunderbolt Muni Complex1678,Chatham,363,272,228,0,863,863,,
