Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
5-05C Liberty City Comm Ctr,Chatham,2574,19,17,7,0,43,406,548,568,2,1524,10,7,4,1,22,1589,
5-06C Seed Church,Chatham,2598,76,67,36,1,180,247,419,337,6,1009,21,15,10,0,46,1235,
5-07C Station 1,Chatham,1856,97,85,59,0,241,207,317,227,5,756,13,14,8,1,36,1033,
5-08C Savannah Primitive BC,Chatham,1848,93,123,77,0,293,179,312,270,2,763,15,13,12,1,41,1097,
5-10C Tatumville Community Center3507,Chatham,37,39,24,0,100,518,645,660,5,1828,14,16,12,0,42,1970,,
5-11C Largo-Tibet Elementary,Chatham,3019,77,134,171,2,384,304,590,380,7,1281,15,8,8,0,31,1696,
6-01C White Bluff Presbyterian1919,Chatham,141,149,84,3,377,161,318,224,2,705,32,10,15,1,58,1140,,
6-02C Windsor Forest Baptist,Chatham,2290,389,407,230,0,1026,132,261,275,1,669,22,19,12,0,53,1748,
6-03C Crusader Comm Center,Chatham,2736,262,329,171,1,763,209,453,416,1,1079,27,15,12,0,54,1896,
6-05C Windsor Hall,Chatham,1993,137,175,107,0,419,198,317,250,0,765,14,8,12,0,34,1218,
6-06C The Light Church,Chatham,1543,125,199,92,0,416,129,177,137,0,443,18,7,5,0,30,889,
6-08C Christ Memorial Baptist Church2194,Chatham,87,145,75,0,307,218,370,264,2,854,19,17,11,0,47,1208,,
6-09C Trinity Lutheran Church 3319,Chatham,299,416,241,1,957,240,518,391,7,1156,35,28,19,0,82,2195,,
6-10C Station 3,Chatham,4184,380,668,302,2,1352,239,625,594,4,1462,30,33,27,1,91,2905,
6-11C Bamboo Farms,Chatham,5149,311,444,178,4,937,414,951,633,5,2003,40,31,29,0,100,3040,
7-01C Garden City Senior Ctr,Chatham,1542,178,169,99,0,446,105,139,140,0,384,19,8,7,0,34,864,
7-03C PB Edwards Gym,Chatham,1290,286,125,77,0,488,92,57,77,0,226,19,6,2,0,27,741,
7-04C Lake Shore Comm Ctr,Chatham,3067,184,178,58,0,420,370,691,342,1,1404,34,29,8,0,71,1895,
7-05C Woodlawn Baptist Church 1305,Chatham,131,125,40,0,296,135,176,105,0,416,9,4,3,0,16,728,,
7-06C Pooler City Hall,Chatham,3555,240,571,174,1,986,171,493,366,1,1031,16,37,14,0,67,2084,
7-07C Rothwell Baptist Church 3932,Chatham,265,903,370,3,1541,111,437,394,2,944,25,35,20,3,83,2568,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,489,622,195,0,1306,70,119,135,0,324,27,17,9,0,53,1683,
7-09C Savannah Holy C of G,Chatham,2823,227,308,145,1,681,202,365,359,2,928,26,19,8,1,54,1663,
7-10C Progressive Rec Center,Chatham,4288,259,427,169,2,857,310,726,512,4,1552,39,54,24,2,119,2528,
7-11C Seventh Day Adv Church,Chatham,6469,441,714,259,6,1420,415,1164,764,7,2350,69,74,33,1,177,3947,
7-12C Pooler Church,Chatham,3334,172,544,206,4,926,157,668,462,0,1287,21,31,21,0,73,2286,
7-13C Southside Fire Trng Ctr 2513,Chatham,225,690,360,1,1276,63,260,366,0,689,16,23,16,0,55,2020,,
7-14C Coastal Cathedral,Chatham,7572,379,768,453,2,1602,536,1471,1142,7,3156,58,52,43,0,153,4911,
7-15C Rice Creek School,Chatham,2564,249,211,72,3,535,259,424,258,2,943,26,11,5,0,42,1520,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,224,825,390,5,1444,108,542,437,7,1094,20,49,31,0,100,2638,,
8-01C Civic Center,Chatham,850,21,28,18,0,67,55,100,80,3,238,5,3,2,0,10,315,
8-02C Hellenic Center,Chatham,1709,73,67,44,0,184,176,346,226,1,749,18,12,8,0,38,971,
8-03C Silk Hope Baptist Church831,Chatham,150,99,39,0,288,55,44,58,0,157,2,4,1,0,7,452,,
8-05C W Broad St YMCA,Chatham,1543,18,6,2,0,26,253,201,162,1,617,13,8,4,0,25,668,
8-06C Tompkins Rec Center,Chatham,1055,12,6,0,1,19,181,138,152,1,472,8,8,5,0,21,512,
8-07C Woodville-Tompkins TI,Chatham,630,9,6,2,1,18,120,99,82,0,301,3,2,4,0,9,328,
8-08C Resur of Our Lord Church1704,Chatham,14,8,6,0,28,298,251,267,4,820,9,2,1,0,12,860,,
8-09C Moses Jackson Center,Chatham,1362,11,5,3,0,19,250,191,198,6,645,7,3,3,1,14,678,
8-10C Carver Heights Comm Ctr 1784,Chatham,11,10,2,0,23,335,254,352,0,941,9,3,6,0,18,982,,
8-11C Butler Elementary,Chatham,1386,9,2,4,0,15,238,302,355,0,895,8,1,4,0,13,923,
8-12C Beach High School,Chatham,1310,42,51,16,1,110,150,209,146,1,506,8,6,7,0,21,637,
8-13C Savannah Christian,Chatham,1022,103,92,48,1,244,37,38,50,1,126,11,9,5,0,25,395,
8-15C Garden City Rec Center,Chatham,1622,24,34,20,0,78,198,270,228,2,698,7,7,2,1,17,793,
8-16C Royal Cinemas and IMAX,Chatham,3087,195,553,239,1,988,143,486,442,2,1073,11,42,23,0,76,2137,
