Precinct,County,Registered Voters,Kenneth Adams (Dem)_Election Day Votes,Kenneth Adams (Dem)_Advanced Voting Votes,Kenneth Adams (Dem)_Absentee by Mail Votes,Kenneth Adams (Dem)_Provisional Votes,Kenneth Adams (Dem)_Choice Total,Total,
7-01C Garden City Senior Ctr,Chatham,1542,48,46,54,0,148,148,
7-03C PB Edwards Gym,Chatham,1290,270,117,116,0,503,503,
7-04C Lake Shore Comm Ctr,Chatham,3067,512,798,383,1,1694,1694,
7-05C Woodlawn Baptist Church 1305,Chatham,98,100,66,0,264,264,,
7-11C Seventh Day Adv Church,Chatham,6469,723,1564,930,11,3228,3228,
7-15C Rice Creek School,Chatham,2564,417,526,286,3,1232,1232,
8-07C Woodville-Tompkins TI,Chatham,630,128,104,85,1,318,318,
8-08C Resur of Our Lord Church1704,Chatham,319,258,273,1,851,851,,
8-09C Moses Jackson Center,Chatham,1362,265,196,206,4,671,671,
8-10C Carver Heights Comm Ctr 1784,Chatham,323,240,323,0,886,886,,
8-11C Butler Elementary,Chatham,1386,260,313,362,0,935,935,
8-12C Beach High School,Chatham,1310,160,207,119,0,486,486,
8-13C Savannah Christian,Chatham,1022,93,81,64,2,240,240,
8-15C Garden City Rec Center,Chatham,1622,205,277,246,1,729,729,
8-16C Royal Cinemas and IMAX,Chatham,3087,273,800,585,1,1659,1659,
