Precinct,County,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
Hogansville,Troup,3806,380,1425,321,0,2126,2126,
East Vernon,Troup,3117,638,1118,381,0,2137,2137,
Rosemont,Troup,3893,54,143,52,0,249,249,
McClendon,Troup,3533,586,1479,336,4,2405,2405,
Long Cane,Troup,3249,8,13,1,0,22,22,
Gardner Newman,Troup,2876,325,960,276,3,1564,1564,
