Precinct,County,Registered Voters,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_Choice Total,Total,
CP051,Fulton,1756,147,532,244,0,923,923,
CP07C,Fulton,323,18,46,10,0,74,74,
CP07D,Fulton,790,63,129,38,0,230,230,
CP07E,Fulton,127,18,19,2,0,39,39,
CP07F,Fulton,266,23,37,5,0,65,65,
FA01C,Fulton,769,61,290,105,1,457,457,
SC08B,Fulton,4096,277,1536,638,9,2460,2460,
SC08E,Fulton,724,59,305,62,4,430,430,
SC09B,Fulton,1920,121,726,356,1,1204,1204,
SC11B,Fulton,1691,117,542,303,2,964,964,
SC17C,Fulton,1293,76,494,180,0,750,750,
SC19B,Fulton,1628,139,426,211,10,786,786,
SC211,Fulton,1828,102,834,293,0,1229,1229,
SC212,Fulton,4244,263,1736,613,10,2622,2622,
SC23B,Fulton,557,56,166,110,2,334,334,
SC29A,Fulton,3154,276,958,547,9,1790,1790,
UC031,Fulton,2745,158,670,449,22,1299,1299,
UC032,Fulton,393,21,136,75,0,232,232,
