Precinct,County,Registered Voters,Betty Price (Rep)_Election Day Votes,Betty Price (Rep)_Advanced Voting Votes,Betty Price (Rep)_Absentee by Mail Votes,Betty Price (Rep)_Provisional Votes,Betty Price (Rep)_Choice Total,Mary Robichaux (I) (Dem)_Election Day Votes,Mary Robichaux (I) (Dem)_Advanced Voting Votes,Mary Robichaux (I) (Dem)_Absentee by Mail Votes,Mary Robichaux (I) (Dem)_Provisional Votes,Mary Robichaux (I) (Dem)_Choice Total,Total,
AP02B,Fulton,677,26,90,82,4,202,8,128,116,4,256,458,
AP03,Fulton,775,30,53,12,1,96,71,187,60,5,323,419,
RW01,Fulton,5010,196,1477,668,8,2349,84,945,751,5,1785,4134,
RW02,Fulton,4061,234,1017,373,7,1631,108,883,621,5,1617,3248,
RW03,Fulton,5041,241,866,316,5,1428,203,1074,631,7,1915,3343,
RW05,Fulton,2910,114,372,148,2,636,179,643,332,10,1164,1800,
RW07A,Fulton,1773,53,80,13,0,146,183,412,153,2,750,896,
RW07B,Fulton,449,19,37,13,4,73,46,82,57,15,200,273,
RW08,Fulton,2429,146,574,337,5,1062,62,357,303,4,726,1788,
RW10,Fulton,3653,194,1089,421,5,1709,50,677,481,3,1211,2920,
RW11A,Fulton,2865,136,585,228,5,954,109,552,408,4,1073,2027,
RW13,Fulton,3764,217,893,268,1,1379,136,927,477,3,1543,2922,
RW16,Fulton,2101,114,586,185,2,887,53,450,256,2,761,1648,
RW17,Fulton,3100,148,509,140,0,797,161,769,379,2,1311,2108,
