Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
06F,Fulton,2841,113,1016,479,4,1612,27,233,79,2,341,1953,
06G,Fulton,588,18,201,107,0,326,8,47,24,1,80,406,
06I,Fulton,4072,255,1205,456,19,1935,75,270,114,5,464,2399,
06J,Fulton,2770,77,913,629,1,1620,43,279,176,0,498,2118,
06L1,Fulton,991,38,336,209,3,586,12,102,49,0,163,749,
06L2,Fulton,726,32,242,134,1,409,12,90,33,0,135,544,
06N,Fulton,1770,84,467,274,7,832,27,175,78,4,284,1116,
06Q,Fulton,571,42,180,52,4,278,8,29,10,2,49,327,
06R,Fulton,2015,58,578,340,2,978,24,201,85,0,310,1288,
07A,Fulton,7691,471,2236,1073,16,3796,144,718,385,7,1254,5050,
07B,Fulton,2952,148,1050,566,0,1764,70,304,154,1,529,2293,
07C,Fulton,4512,227,1103,884,12,2226,65,391,285,3,744,2970,
07D,Fulton,4879,262,1429,555,20,2266,92,528,177,3,800,3066,
07E,Fulton,2247,68,660,479,3,1210,29,228,146,4,407,1617,
07F,Fulton,3790,187,1193,590,25,1995,77,403,179,5,664,2659,
07H,Fulton,2060,100,674,360,0,1134,37,244,129,0,410,1544,
07J,Fulton,3041,159,998,505,7,1669,58,283,124,5,470,2139,
07M,Fulton,2401,139,611,333,0,1083,36,195,98,0,329,1412,
07N,Fulton,2139,120,556,294,7,977,29,145,88,2,264,1241,
08A,Fulton,3084,193,1013,468,7,1681,57,360,137,3,557,2238,
08B,Fulton,3498,152,1216,537,1,1906,55,483,148,1,687,2593,
08C,Fulton,1500,55,507,235,0,797,25,221,98,0,344,1141,
08D,Fulton,1073,34,400,186,15,635,10,132,57,2,201,836,
08E,Fulton,2568,102,896,494,2,1494,47,341,159,1,548,2042,
08F1,Fulton,2187,109,827,373,4,1313,25,288,102,0,415,1728,
08G,Fulton,3086,141,754,480,5,1380,60,237,168,0,465,1845,
08H,Fulton,2556,94,875,478,2,1449,30,291,164,1,486,1935,
08J,Fulton,3344,174,1346,484,8,2012,59,333,109,1,502,2514,
08K,Fulton,1049,71,348,183,0,602,26,115,52,0,193,795,
08L,Fulton,4505,218,1408,723,17,2366,71,460,179,4,714,3080,
08M,Fulton,2295,139,759,334,1,1233,48,276,101,3,428,1661,
08N1,Fulton,824,27,294,129,1,451,9,108,53,1,171,622,
08N2,Fulton,1616,63,490,309,2,864,22,155,84,0,261,1125,
08P,Fulton,1887,110,564,205,5,884,30,126,49,3,208,1092,
