Precinct,County,Registered Voters,Lyndsey Rudder (Rep)_Election Day Votes,Lyndsey Rudder (Rep)_Advanced Voting Votes,Lyndsey Rudder (Rep)_Absentee by Mail Votes,Lyndsey Rudder (Rep)_Provisional Votes,Lyndsey Rudder (Rep)_Choice Total,Betsy Holland (I) (Dem)_Election Day Votes,Betsy Holland (I) (Dem)_Advanced Voting Votes,Betsy Holland (I) (Dem)_Absentee by Mail Votes,Betsy Holland (I) (Dem)_Provisional Votes,Betsy Holland (I) (Dem)_Choice Total,Total,
06I,Fulton,4072,94,213,56,7,370,240,1304,525,12,2081,2451,
06Q,Fulton,571,9,9,5,2,25,46,209,60,4,319,344,
07A,Fulton,7691,348,1360,463,10,2181,287,1716,1060,14,3077,5258,
07B,Fulton,2952,185,937,345,0,1467,49,508,402,1,960,2427,
07C,Fulton,4512,162,675,475,11,1323,142,891,753,4,1790,3113,
07D,Fulton,4879,191,850,230,13,1284,183,1172,530,13,1898,3182,
07E,Fulton,2247,47,327,155,4,533,48,592,488,3,1131,1664,
07F,Fulton,3790,172,699,254,25,1150,106,997,538,9,1650,2800,
07H,Fulton,2060,100,441,158,0,699,45,515,366,0,926,1625,
07M,Fulton,2401,68,303,96,0,467,112,535,345,0,992,1459,
07N,Fulton,2139,38,130,57,2,227,114,589,330,7,1040,1267,
08F1,Fulton,2187,121,778,244,3,1146,23,414,255,1,693,1839,
08G,Fulton,3086,113,453,213,0,779,97,585,478,5,1165,1944,
08H,Fulton,2556,102,741,266,2,1111,38,483,417,0,938,2049,
08J,Fulton,3344,153,825,238,2,1218,82,909,379,2,1372,2590,
08M,Fulton,2295,134,682,219,3,1038,60,424,225,2,711,1749,
08N2,Fulton,1616,46,300,157,0,503,45,378,253,1,677,1180,
