Precinct,County,Registered Voters,David Dreyer (I) (Dem)_Election Day Votes,David Dreyer (I) (Dem)_Advanced Voting Votes,David Dreyer (I) (Dem)_Absentee by Mail Votes,David Dreyer (I) (Dem)_Provisional Votes,David Dreyer (I) (Dem)_Choice Total,Total,
01A,Fulton,3694,171,1702,706,22,2601,2601,
01B,Fulton,4327,266,1851,880,5,3002,3002,
01C,Fulton,1908,194,376,159,0,729,729,
01E,Fulton,3720,115,1576,756,0,2447,2447,
01G,Fulton,2312,138,745,281,1,1165,1165,
01J,Fulton,2848,230,724,323,12,1289,1289,
01P,Fulton,1444,204,219,165,4,592,592,
01R,Fulton,1550,211,144,119,7,481,481,
01T,Fulton,1799,175,452,175,1,803,803,
02E,Fulton,2009,107,900,459,0,1466,1466,
02F1,Fulton,3221,114,1299,704,6,2123,2123,
05A2,Fulton,3343,142,1453,603,4,2202,2202,
12E1,Fulton,1906,119,297,239,3,658,658,
12F,Fulton,1229,111,298,89,1,499,499,
12G,Fulton,885,54,175,176,1,406,406,
12H1,Fulton,1170,97,173,75,8,353,353,
EP02A,Fulton,2407,163,546,304,19,1032,1032,
EP02B,Fulton,1679,92,631,287,1,1011,1011,
HP01,Fulton,3824,330,995,468,5,1798,1798,
