Precinct,County,Registered Voters,Marie Metze (I) (Dem)_Election Day Votes,Marie Metze (I) (Dem)_Advanced Voting Votes,Marie Metze (I) (Dem)_Absentee by Mail Votes,Marie Metze (I) (Dem)_Provisional Votes,Marie Metze (I) (Dem)_Choice Total,Total,
03H,Fulton,1091,89,222,98,0,409,409,
03M,Fulton,965,155,240,80,2,477,477,
03S,Fulton,908,99,203,99,0,401,401,
06L2,Fulton,726,23,262,125,1,411,411,
06N,Fulton,1770,78,518,277,0,873,873,
07J,Fulton,3041,162,1035,490,10,1697,1697,
08K,Fulton,1049,70,382,204,0,656,656,
08L,Fulton,4505,218,1551,790,16,2575,2575,
08P,Fulton,1887,118,636,224,8,986,986,
09G,Fulton,3943,231,1511,620,9,2371,2371,
09H,Fulton,1185,78,412,151,1,642,642,
09I,Fulton,1397,139,252,169,2,562,562,
10B,Fulton,3965,232,1467,857,9,2565,2565,
10H2,Fulton,2623,175,549,328,0,1052,1052,
11B,Fulton,4395,338,1322,812,6,2478,2478,
11B1,Fulton,894,69,287,28,3,387,387,
11C,Fulton,3149,162,1335,563,2,2062,2062,
11E2,Fulton,1003,75,335,158,0,568,568,
11M,Fulton,1380,99,560,338,2,999,999,
11M1,Fulton,2190,136,518,52,7,713,713,
11N,Fulton,2431,193,801,421,3,1418,1418,
11P,Fulton,2095,132,531,369,11,1043,1043,
SC02,Fulton,1426,42,715,259,1,1017,1017,
SC30A,Fulton,157,5,44,59,7,115,115,
SC30B,Fulton,1110,59,358,147,0,564,564,
