Precinct,County,Registered Voters,Horacena Tate (I) (Dem)_Election Day Votes,Horacena Tate (I) (Dem)_Advanced Voting Votes,Horacena Tate (I) (Dem)_Absentee by Mail Votes,Horacena Tate (I) (Dem)_Provisional Votes,Horacena Tate (I) (Dem)_Choice Total,Total,
03B,Fulton,777,52,93,61,0,206,206,
03C,Fulton,1879,134,331,217,6,688,688,
03H,Fulton,1091,89,215,98,0,402,402,
03M,Fulton,965,153,239,80,2,474,474,
03S,Fulton,908,98,201,98,0,397,397,
08J,Fulton,3344,140,1269,435,5,1849,1849,
08K,Fulton,1049,74,380,202,0,656,656,
08L,Fulton,4505,216,1521,786,16,2539,2539,
08P,Fulton,1887,119,641,221,8,989,989,
09A,Fulton,3856,185,1512,576,9,2282,2282,
09B,Fulton,464,28,75,64,0,167,167,
09C,Fulton,3353,251,860,453,23,1587,1587,
09D,Fulton,2299,218,429,284,9,940,940,
09E,Fulton,3261,259,934,310,2,1505,1505,
09G,Fulton,3943,228,1511,620,9,2368,2368,
09H,Fulton,1185,76,407,152,1,636,636,
09I,Fulton,1397,136,252,171,2,561,561,
09K,Fulton,4002,262,843,466,11,1582,1582,
09K1,Fulton,1518,108,311,40,1,460,460,
09M,Fulton,2578,103,1201,345,0,1649,1649,
10A,Fulton,3186,235,946,527,14,1722,1722,
10B,Fulton,3965,234,1480,852,8,2574,2574,
10C,Fulton,2598,139,685,317,13,1154,1154,
10D,Fulton,4968,307,1116,523,138,2084,2084,
10E,Fulton,1084,93,297,183,4,577,577,
10F,Fulton,1208,109,305,198,12,624,624,
10G,Fulton,1332,94,500,234,1,829,829,
10H1,Fulton,439,30,149,77,14,270,270,
10H2,Fulton,2623,165,535,329,6,1035,1035,
10I,Fulton,331,13,154,89,0,256,256,
10J,Fulton,1238,140,181,129,13,463,463,
10P,Fulton,1607,145,330,237,3,715,715,
10R,Fulton,928,94,196,83,10,383,383,
11B,Fulton,4395,326,1309,825,13,2473,2473,
11B1,Fulton,894,70,293,28,3,394,394,
11C,Fulton,3149,158,1339,568,6,2071,2071,
11E1,Fulton,1340,117,387,164,6,674,674,
FC01,Fulton,325,21,129,26,2,178,178,
FC02,Fulton,585,13,25,8,2,48,48,
FC03,Fulton,17,0,8,0,5,13,13,
SC01A,Fulton,41,2,37,7,0,46,46,
SC01B,Fulton,2088,122,1113,295,11,1541,1541,
SC01C,Fulton,2249,80,1048,453,2,1583,1583,
SC02,Fulton,1426,41,719,256,1,1017,1017,
SC14A,Fulton,1030,63,319,98,0,480,480,
SC16A,Fulton,5175,279,2434,864,0,3577,3577,
SC30A,Fulton,157,5,44,57,8,114,114,
SC30B,Fulton,1110,56,353,146,0,555,555,
