Precinct,County,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
CH01,Fulton,376,19,63,24,1,107,107,
CH02,Fulton,338,36,95,35,0,166,166,
CH03,Fulton,410,55,136,39,0,230,230,
CH04A,Fulton,825,52,292,84,0,428,428,
CH05,Fulton,429,47,148,57,0,252,252,
