Precinct,County,Registered Voters,Bob Ellis (I) (Rep)_Election Day Votes,Bob Ellis (I) (Rep)_Advanced Voting Votes,Bob Ellis (I) (Rep)_Absentee by Mail Votes,Bob Ellis (I) (Rep)_Provisional Votes,Bob Ellis (I) (Rep)_Choice Total,Justin Holsomback (Dem)_Election Day Votes,Justin Holsomback (Dem)_Advanced Voting Votes,Justin Holsomback (Dem)_Absentee by Mail Votes,Justin Holsomback (Dem)_Provisional Votes,Justin Holsomback (Dem)_Choice Total,Total,
AP021,Fulton,3408,170,963,277,0,1410,94,701,282,3,1080,2490,
AP022,Fulton,2507,82,527,208,0,817,88,453,333,0,874,1691,
AP02B,Fulton,677,28,96,84,5,213,6,116,108,3,233,446,
AP03,Fulton,775,27,59,18,2,106,70,179,54,4,307,413,
AP04A,Fulton,1760,91,519,246,4,860,32,324,176,0,532,1392,
AP04B,Fulton,473,43,163,27,2,235,3,96,47,4,150,385,
AP06,Fulton,1967,124,660,200,10,994,29,327,169,2,527,1521,
AP07A,Fulton,3910,191,934,339,13,1477,96,733,417,3,1249,2726,
AP07B,Fulton,1882,82,548,190,12,832,50,381,180,6,617,1449,
AP10,Fulton,992,50,353,107,16,526,21,144,80,13,258,784,
AP12C,Fulton,2367,102,701,213,9,1025,53,427,170,7,657,1682,
ML01A,Fulton,2795,159,1007,254,22,1442,44,534,226,7,811,2253,
ML01B,Fulton,708,40,241,81,0,362,6,105,55,0,166,528,
ML02A,Fulton,2580,259,976,304,2,1541,50,261,191,0,502,2043,
ML02B,Fulton,1914,136,708,236,1,1081,42,244,128,1,415,1496,
ML03,Fulton,3718,271,1365,463,6,2105,57,505,273,1,836,2941,
ML03A,Fulton,301,15,127,14,2,158,3,35,7,0,45,203,
ML04,Fulton,3322,207,1106,373,20,1706,59,520,271,8,858,2564,
ML05,Fulton,4843,265,1258,439,10,1972,113,915,524,2,1554,3526,
ML06A,Fulton,2181,108,283,93,4,488,87,547,204,4,842,1330,
ML06B,Fulton,3119,134,527,187,4,852,113,762,385,2,1262,2114,
ML07A,Fulton,836,125,241,85,0,451,12,104,64,0,180,631,
ML07B,Fulton,1675,222,506,165,1,894,42,216,128,0,386,1280,
MP01,Fulton,472,122,34,25,5,186,82,34,53,1,170,356,
RW01,Fulton,5010,205,1530,736,9,2480,70,859,652,3,1584,4064,
RW02,Fulton,4061,247,1087,429,8,1771,84,774,547,5,1410,3181,
RW03,Fulton,5041,244,900,339,6,1489,186,995,577,7,1765,3254,
RW05,Fulton,2910,119,391,160,5,675,165,609,306,6,1086,1761,
RW07B,Fulton,449,18,35,14,4,71,46,80,56,14,196,267,
RW08,Fulton,2429,146,600,379,5,1130,51,313,251,3,618,1748,
RW09,Fulton,4450,287,1451,751,2,2491,59,641,583,1,1284,3775,
RW09A,Fulton,1892,136,677,88,6,907,30,292,54,0,376,1283,
RW10,Fulton,3653,192,1163,470,5,1830,46,575,409,4,1034,2864,
RW11A,Fulton,2865,143,615,268,4,1030,94,507,355,5,961,1991,
RW12,Fulton,3899,305,1173,600,3,2081,72,674,644,1,1391,3472,
RW12A,Fulton,2458,144,672,96,4,916,58,428,87,1,574,1490,
RW16,Fulton,2101,121,624,207,3,955,41,402,220,3,666,1621,
RW19,Fulton,2147,134,726,240,0,1100,33,351,208,0,592,1692,
SS02A,Fulton,1206,36,238,104,0,378,27,284,180,5,496,874,
SS02B,Fulton,1318,36,157,68,3,264,40,394,169,3,606,870,
SS03,Fulton,1577,84,348,124,3,559,32,389,209,1,631,1190,
SS04,Fulton,3763,152,578,268,8,1006,125,961,500,10,1596,2602,
SS07A,Fulton,1254,34,303,204,0,541,14,244,155,0,413,954,
SS08C,Fulton,716,25,101,46,0,172,13,185,112,0,310,482,
SS15A,Fulton,2756,70,147,46,1,264,202,752,254,5,1213,1477,
SS15B,Fulton,1730,96,223,70,0,389,110,416,164,2,692,1081,
SS19A,Fulton,3299,67,369,116,6,558,137,914,346,8,1405,1963,
SS19B,Fulton,2342,54,319,129,35,537,80,684,262,64,1090,1627,
SS20,Fulton,2404,71,318,124,4,517,119,542,291,8,960,1477,
SS22,Fulton,2834,103,400,237,0,740,111,496,344,3,954,1694,
SS26,Fulton,3824,49,271,97,7,424,217,1131,339,9,1696,2120,
SS29A,Fulton,2842,136,475,241,5,857,81,698,351,2,1132,1989,
