Precinct,County,Registered Voters,Michael Wesley (Dem)_Election Day Votes,Michael Wesley (Dem)_Advanced Voting Votes,Michael Wesley (Dem)_Absentee by Mail Votes,Michael Wesley (Dem)_Provisional Votes,Michael Wesley (Dem)_Choice Total,Total,
Helena,Telfair,969,124,253,65,7,449,449,
Jacksonville,Telfair,628,116,70,55,1,242,242,
Lumber-City,Telfair,963,151,109,237,0,497,497,
McRae,Telfair,2337,217,650,319,1,1187,1187,
Milan,Telfair,802,155,134,50,0,339,339,
Scotland,Telfair,333,66,60,15,0,141,141,
