Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Helena,Telfair,969,116,229,53,4,402,32,112,25,1,170,572,
Jacksonville,Telfair,628,121,93,51,1,266,58,36,21,0,115,381,
Lumber-City,Telfair,963,160,151,225,0,536,51,44,33,0,128,664,
McRae,Telfair,2337,172,594,300,1,1067,64,235,67,0,366,1433,
Milan,Telfair,802,160,177,55,0,392,73,68,21,0,162,554,
Scotland,Telfair,333,88,68,21,0,177,30,23,6,0,59,236,
