Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Oak Park,Emanuel,686,247,144,38,0,429,11,9,11,0,31,7,2,3,0,12,472,
Cross-Green,Emanuel,241,29,32,5,0,66,59,20,29,0,108,2,0,0,0,2,176,
Swainsboro,Emanuel,6988,584,1610,473,1,2668,371,761,466,0,1598,43,54,26,0,123,4389,
Summertown,Emanuel,504,147,100,32,0,279,21,21,32,0,74,1,3,0,0,4,357,
Stillmore,Emanuel,608,132,87,28,0,247,58,36,18,0,112,7,8,2,0,17,376,
Blundale,Emanuel,756,223,246,64,0,533,5,16,7,0,28,2,2,0,0,4,565,
Canoochee,Emanuel,681,227,127,33,0,387,26,40,22,0,88,5,1,0,0,6,481,
Garfield,Emanuel,489,195,73,23,0,291,27,21,22,0,70,4,2,1,0,7,368,
Nunez,Emanuel,384,115,76,20,0,211,24,17,7,0,48,2,0,0,0,2,261,
Twin City,Emanuel,1551,284,345,77,0,706,119,143,100,0,362,9,9,8,0,26,1094,
Adrian,Emanuel,827,233,153,86,0,472,27,21,18,0,66,4,6,6,1,17,555,
