Precinct,County,Registered Voters,Hugh Foskey (I) (Rep)_Election Day Votes,Hugh Foskey (I) (Rep)_Advanced Voting Votes,Hugh Foskey (I) (Rep)_Absentee by Mail Votes,Hugh Foskey (I) (Rep)_Provisional Votes,Hugh Foskey (I) (Rep)_Choice Total,Total,
Oak Park,Emanuel,686,13,11,3,0,27,27,
Swainsboro,Emanuel,6988,180,512,161,1,854,854,
Blundale,Emanuel,756,3,1,1,0,5,5,
Nunez,Emanuel,384,124,80,22,0,226,226,
Adrian,Emanuel,827,243,167,92,0,502,502,
