Precinct,County,Registered Voters,Oz Nesbitt (I) (Dem)_Election Day Votes,Oz Nesbitt (I) (Dem)_Advanced Voting Votes,Oz Nesbitt (I) (Dem)_Absentee by Mail Votes,Oz Nesbitt (I) (Dem)_Provisional Votes,Oz Nesbitt (I) (Dem)_Choice Total,Total,
BA,Rockdale,4803,364,1578,755,1,2698,2698,
BT,Rockdale,4007,361,824,459,3,1647,1647,
CO,Rockdale,3862,345,1067,470,3,1885,1885,
FI,Rockdale,6328,412,2322,1154,0,3888,3888,
FS,Rockdale,4038,256,1389,705,0,2350,2350,
HC,Rockdale,2411,178,700,341,0,1219,1219,
HI,Rockdale,3515,223,1142,534,0,1899,1899,
LA,Rockdale,2001,164,445,362,0,971,971,
LO,Rockdale,3943,375,1220,657,0,2252,2252,
MA,Rockdale,3180,274,909,441,1,1625,1625,
MI,Rockdale,4226,315,1329,621,4,2269,2269,
OT,Rockdale,6135,428,1928,910,4,3270,3270,
RO,Rockdale,4633,318,1568,705,1,2592,2592,
SM,Rockdale,4308,253,1592,722,5,2572,2572,
SP,Rockdale,4781,322,1816,746,1,2885,2885,
ST,Rockdale,3334,189,1050,533,3,1775,1775,
