Precinct,County,Registered Voters,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_Choice Total,Total,
BT,Rockdale,4007,201,535,313,1,1050,1050,
CO,Rockdale,3862,343,1069,495,1,1908,1908,
FS,Rockdale,4038,85,247,111,0,443,443,
HI,Rockdale,3515,86,497,244,0,827,827,
LA,Rockdale,2001,160,463,376,0,999,999,
MI,Rockdale,4226,308,1353,635,3,2299,2299,
OT,Rockdale,6135,288,1373,701,1,2363,2363,
