Precinct,County,Registered Voters,"George Levett, Jr. (I) (Dem)_Election Day Votes","George Levett, Jr. (I) (Dem)_Advanced Voting Votes","George Levett, Jr. (I) (Dem)_Absentee by Mail Votes","George Levett, Jr. (I) (Dem)_Provisional Votes","George Levett, Jr. (I) (Dem)_Choice Total",Total,
BA,Rockdale,4803,380,1657,776,1,2814,2814,
BT,Rockdale,4007,390,898,473,2,1763,1763,
CO,Rockdale,3862,353,1093,484,3,1933,1933,
FI,Rockdale,6328,421,2338,1171,0,3930,3930,
FS,Rockdale,4038,263,1403,714,0,2380,2380,
HC,Rockdale,2411,188,744,353,0,1285,1285,
HI,Rockdale,3515,233,1160,546,0,1939,1939,
LA,Rockdale,2001,167,486,383,0,1036,1036,
LO,Rockdale,3943,383,1262,666,0,2311,2311,
MA,Rockdale,3180,293,946,461,1,1701,1701,
MI,Rockdale,4226,313,1375,634,4,2326,2326,
OT,Rockdale,6135,427,1979,925,4,3335,3335,
RO,Rockdale,4633,322,1609,713,1,2645,2645,
SM,Rockdale,4308,256,1681,743,4,2684,2684,
SP,Rockdale,4781,324,1860,759,1,2944,2944,
ST,Rockdale,3334,199,1117,546,3,1865,1865,
