Precinct,County,Registered Voters,Rhonda S. Taylor (Dem)_Election Day Votes,Rhonda S. Taylor (Dem)_Advanced Voting Votes,Rhonda S. Taylor (Dem)_Absentee by Mail Votes,Rhonda S. Taylor (Dem)_Provisional Votes,Rhonda S. Taylor (Dem)_Choice Total,Total,
FI,Rockdale,6328,86,671,353,0,1110,1110,
FS,Rockdale,4038,169,1146,596,0,1911,1911,
HC,Rockdale,2411,178,715,351,0,1244,1244,
MA,Rockdale,3180,146,561,287,0,994,994,
OT,Rockdale,6135,107,419,191,0,717,717,
RO,Rockdale,4633,318,1579,724,2,2623,2623,
SM,Rockdale,4308,252,1616,737,3,2608,2608,
SP,Rockdale,4781,319,1831,744,1,2895,2895,
ST,Rockdale,3334,189,1072,526,2,1789,1789,
