Precinct,County,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
Sharon,Taliaferro,253,46,40,14,0,100,100,
Crawfordville,Taliaferro,992,86,218,83,0,387,387,
