Precinct,County,Registered Voters,Richard Chatman (I) (Dem)_Election Day Votes,Richard Chatman (I) (Dem)_Advanced Voting Votes,Richard Chatman (I) (Dem)_Absentee by Mail Votes,Richard Chatman (I) (Dem)_Provisional Votes,Richard Chatman (I) (Dem)_Choice Total,Total,
Bloodworth,Wilkinson,434,145,86,23,0,254,254,
Griffin,Wilkinson,184,71,29,25,0,125,125,
High Hill,Wilkinson,173,65,31,14,0,110,110,
Irwinton,Wilkinson,875,101,355,107,1,564,564,
Ivey,Wilkinson,960,265,182,54,2,503,503,
Lord,Wilkinson,735,174,193,89,0,456,456,
Midway,Wilkinson,938,112,302,180,2,596,596,
Ramah,Wilkinson,1709,390,478,225,0,1093,1093,
Turkey Creek,Wilkinson,462,143,86,30,0,259,259,
