Precinct,County,Registered Voters,Leroy Strange (I) (Dem)_Election Day Votes,Leroy Strange (I) (Dem)_Advanced Voting Votes,Leroy Strange (I) (Dem)_Absentee by Mail Votes,Leroy Strange (I) (Dem)_Provisional Votes,Leroy Strange (I) (Dem)_Choice Total,Total,
Griffin,Wilkinson,184,69,25,25,0,119,119,
High Hill,Wilkinson,173,59,19,12,0,90,90,
Irwinton,Wilkinson,875,20,61,18,0,99,99,
Lord,Wilkinson,735,158,182,82,0,422,422,
Turkey Creek,Wilkinson,462,116,58,27,0,201,201,
