Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Bold Springs,Walton,4653,677,1769,514,2,2962,121,308,275,0,704,21,30,22,0,73,3739,
Whatley,Walton,1254,239,501,131,0,871,23,50,48,0,121,9,3,0,0,12,1004,
Walker Park,Walton,3858,513,1423,382,0,2318,89,215,178,0,482,23,23,10,0,56,2856,
Gratis,Walton,1243,315,439,128,0,882,29,40,61,0,130,9,3,4,0,16,1028,
Between,Walton,4925,537,2082,471,1,3091,98,373,251,0,722,23,44,19,0,86,3899,
Walnut Grove,Walton,2661,488,922,202,0,1612,40,145,95,0,280,15,18,10,0,43,1935,
Loganville North,Walton,5225,486,1570,454,4,2514,140,505,307,0,952,30,49,30,0,109,3575,
Social Circle,Walton,4604,698,1281,332,2,2313,227,387,298,0,912,27,30,14,1,72,3297,
South Monroe,Walton,3910,260,1180,306,0,1746,99,416,197,0,712,21,43,20,0,84,2542,
North Monroe,Walton,4818,293,758,223,1,1275,278,696,481,3,1458,23,36,23,0,82,2815,
Loganville South,Walton,3768,323,1079,375,0,1777,157,386,239,0,782,20,42,24,0,86,2645,
West Walton,Walton,4219,543,1570,431,0,2544,93,367,202,0,662,27,34,14,0,75,3281,
Broken Arrow,Walton,4380,549,1647,374,0,2570,67,289,223,0,579,41,33,16,0,90,3239,
Bay Creek,Walton,3401,340,1385,333,1,2059,59,238,179,0,476,12,28,8,0,48,2583,
E Monroe,Walton,4119,341,804,209,1,1355,207,440,227,4,878,22,30,23,0,75,2308,
W Monroe,Walton,2027,238,839,201,0,1278,45,159,94,0,298,7,12,2,0,21,1597,
Tara,Walton,4050,274,1068,284,1,1627,167,805,354,1,1327,12,31,14,1,58,3012,
Mountain,Walton,1657,271,585,150,0,1006,44,79,55,0,178,7,9,5,0,21,1205,
Jersey,Walton,1970,644,584,161,0,1389,42,71,48,0,161,18,8,7,0,33,1583,
Blasingame,Walton,1115,393,313,93,0,799,34,36,36,1,107,9,4,3,0,16,922,
Good Hope,Walton,2149,621,632,158,0,1411,49,102,74,0,225,22,10,5,0,37,1673,
