Precinct,County,Registered Voters,Derry M. Boyd (I) (Rep)_Election Day Votes,Derry M. Boyd (I) (Rep)_Advanced Voting Votes,Derry M. Boyd (I) (Rep)_Absentee by Mail Votes,Derry M. Boyd (I) (Rep)_Provisional Votes,Derry M. Boyd (I) (Rep)_Choice Total,Total,
Bold Springs,Walton,4653,765,1912,634,2,3313,3313,
Whatley,Walton,1254,251,517,158,0,926,926,
Walker Park,Walton,3858,575,1526,480,0,2581,2581,
Gratis,Walton,1243,348,463,160,0,971,971,
Between,Walton,4925,606,2292,599,1,3498,3498,
Walnut Grove,Walton,2661,524,993,255,0,1772,1772,
Loganville North,Walton,5225,586,1812,616,4,3018,3018,
Social Circle,Walton,4604,845,1488,443,3,2779,2779,
South Monroe,Walton,3910,330,1417,423,0,2170,2170,
North Monroe,Walton,4818,490,1137,447,3,2077,2077,
Loganville South,Walton,3768,431,1294,497,0,2222,2222,
West Walton,Walton,4219,616,1771,532,0,2919,2919,
Broken Arrow,Walton,4380,619,1805,486,0,2910,2910,
Bay Creek,Walton,3401,381,1512,398,1,2292,2292,
E Monroe,Walton,4119,474,1078,333,2,1887,1887,
W Monroe,Walton,2027,268,924,254,0,1446,1446,
Tara,Walton,4050,363,1419,427,1,2210,2210,
Mountain,Walton,1657,303,625,186,0,1114,1114,
Jersey,Walton,1970,688,631,197,1,1517,1517,
Blasingame,Walton,1115,406,335,121,1,863,863,
Good Hope,Walton,2149,663,687,188,0,1538,1538,
