Precinct,County,Registered Voters,Diane Moon Turner (I) (Rep)_Election Day Votes,Diane Moon Turner (I) (Rep)_Advanced Voting Votes,Diane Moon Turner (I) (Rep)_Absentee by Mail Votes,Diane Moon Turner (I) (Rep)_Provisional Votes,Diane Moon Turner (I) (Rep)_Choice Total,Total,
Loganville South,Walton,3768,431,1288,488,0,2207,2207,
West Walton,Walton,4219,619,1766,535,0,2920,2920,
Tara,Walton,4050,197,757,255,1,1210,1210,
