Precinct,County,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,
Whatley,Walton,1254,241,500,137,0,878,24,48,42,0,114,992,
Walnut Grove,Walton,2661,496,924,208,0,1628,36,135,95,0,266,1894,
Social Circle,Walton,4604,715,1280,329,3,2327,214,377,311,1,903,3230,
Jersey,Walton,1970,655,589,169,1,1414,35,61,47,0,143,1557,
Blasingame,Walton,1115,1,0,3,0,4,0,0,0,1,1,5,
