Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Bold Springs,Walton,4653,686,1766,515,2,2969,117,325,296,0,738,18,10,12,0,40,3747,
Whatley,Walton,1254,240,501,133,0,874,26,55,51,0,132,6,1,0,0,7,1013,
Walker Park,Walton,3858,516,1440,392,0,2348,97,211,191,0,499,12,9,5,0,26,2873,
Gratis,Walton,1243,328,433,135,0,896,23,44,64,0,131,4,5,2,0,11,1038,
Between,Walton,4925,535,2089,488,1,3113,111,385,267,0,763,15,23,6,0,44,3920,
Walnut Grove,Walton,2661,501,925,203,0,1629,39,149,107,0,295,5,10,3,0,18,1942,
Loganville North,Walton,5225,495,1584,476,4,2559,150,518,325,0,993,14,21,15,0,50,3602,
Social Circle,Walton,4604,722,1295,327,3,2347,213,391,323,1,928,21,10,9,0,40,3315,
South Monroe,Walton,3910,265,1191,323,0,1779,104,427,224,0,755,11,20,5,0,36,2570,
North Monroe,Walton,4818,298,776,236,1,1311,294,703,512,3,1512,8,18,5,0,31,2854,
Loganville South,Walton,3768,326,1096,375,0,1797,163,395,272,0,830,11,19,8,0,38,2665,
West Walton,Walton,4219,551,1584,429,0,2564,103,376,224,0,703,13,15,6,0,34,3301,
Broken Arrow,Walton,4380,571,1660,385,0,2616,63,303,239,0,605,21,12,6,0,39,3260,
Bay Creek,Walton,3401,339,1392,332,1,2064,62,243,193,0,498,10,19,8,0,37,2599,
E Monroe,Walton,4119,347,819,221,1,1388,212,458,248,4,922,9,10,5,0,24,2334,
W Monroe,Walton,2027,233,839,204,0,1276,45,168,100,0,313,10,3,1,0,14,1603,
Tara,Walton,4050,278,1066,288,1,1633,167,831,382,2,1382,9,12,6,0,27,3042,
Mountain,Walton,1657,277,594,155,0,1026,42,81,59,0,182,4,2,4,0,10,1218,
Jersey,Walton,1970,659,589,163,1,1412,33,68,54,0,155,13,8,3,0,24,1591,
Blasingame,Walton,1115,404,315,97,0,816,29,38,39,1,107,3,2,1,0,6,929,
Good Hope,Walton,2149,631,640,154,0,1425,52,103,84,0,239,8,6,1,0,15,1679,
