Precinct,County,Registered Voters,Steven Meeks (I) (Rep)_Election Day Votes,Steven Meeks (I) (Rep)_Advanced Voting Votes,Steven Meeks (I) (Rep)_Absentee by Mail Votes,Steven Meeks (I) (Rep)_Provisional Votes,Steven Meeks (I) (Rep)_Choice Total,Total,
Odum,Wayne,1260,309,512,92,0,913,913,
Screven,Wayne,1849,478,621,151,2,1252,1252,
Empire,Wayne,1106,188,527,100,0,815,815,
Gardi,Wayne,1123,294,350,118,2,764,764,
Pine Street,Wayne,1140,27,139,48,0,214,214,
Rec Center,Wayne,1766,214,685,163,0,1062,1062,
