Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Air Acres,Cherokee,3050,417,745,348,2,1512,131,366,446,0,943,19,18,10,0,47,2502,
Arnold Mill,Cherokee,4884,754,1455,587,0,2796,168,444,487,0,1099,25,30,17,0,72,3967,
Avery,Cherokee,3592,437,1386,478,1,2302,78,248,254,0,580,14,14,11,0,39,2921,
Ball Ground,Cherokee,4065,503,1729,316,1,2549,72,241,176,0,489,19,25,8,0,52,3090,
Bascomb,Cherokee,4115,575,1174,409,0,2158,155,445,381,0,981,31,18,8,0,57,3196,
Bells,Cherokee,5906,604,1158,499,1,2262,272,872,672,0,1816,29,33,26,0,88,4166,
Booth,Cherokee,3899,387,1221,441,0,2049,125,450,434,0,1009,15,26,16,0,57,3115,
Bradshaw,Cherokee,4491,455,1636,583,0,2674,113,442,403,0,958,22,29,10,0,61,3693,
Bridgemill,Cherokee,5113,605,1828,563,0,2996,126,500,497,0,1123,20,17,15,0,52,4171,
Canton,Cherokee,8213,617,2176,1021,0,3814,233,768,893,0,1894,26,27,17,0,70,5778,
Carmel,Cherokee,4581,496,841,385,1,1723,287,534,494,1,1316,20,17,14,1,52,3091,
Clayton,Cherokee,4906,713,1657,493,1,2864,119,330,341,0,790,29,31,14,0,74,3728,
Conns Creek,Cherokee,895,271,284,61,0,616,17,22,25,0,64,5,1,0,0,6,686,
Deer Run,Cherokee,3035,572,644,271,1,1488,144,377,315,0,836,18,19,8,0,45,2369,
Dixie,Cherokee,5733,532,1294,487,0,2313,282,700,625,0,1607,31,32,25,0,88,4008,
Freehome,Cherokee,5790,685,2170,741,0,3596,101,423,492,0,1016,29,25,24,0,78,4690,
Hickory Flat,Cherokee,7334,740,2518,752,2,4012,200,906,707,0,1813,32,38,21,0,91,5916,
Hightower,Cherokee,3483,486,1413,409,0,2308,55,203,180,0,438,11,16,15,0,42,2788,
Hillside,Cherokee,3155,371,1055,373,0,1799,94,334,307,0,735,11,10,10,0,31,2565,
Holly Springs,Cherokee,3262,446,861,271,1,1579,110,280,189,0,579,35,17,8,0,60,2218,
Kellogg,Cherokee,5482,682,1231,465,2,2380,290,527,451,0,1268,41,23,15,0,79,3727,
Liberty,Cherokee,8350,752,2388,730,0,3870,302,962,732,0,1996,41,63,24,0,128,5994,
Little River,Cherokee,7480,638,1868,1077,1,3584,274,905,1131,0,2310,27,29,37,0,93,5987,
Macedonia,Cherokee,4853,611,1852,553,0,3016,121,388,380,0,889,14,21,13,0,48,3953,
Mountain Road,Cherokee,3078,526,894,334,1,1755,122,277,254,0,653,20,17,9,0,46,2454,
Neese,Cherokee,7642,721,1832,741,1,3295,310,954,915,0,2179,29,39,36,0,104,5578,
Oak Grove,Cherokee,3749,561,905,381,0,1847,151,307,312,0,770,18,17,8,0,43,2660,
R M Moore,Cherokee,3468,661,1200,376,0,2237,75,121,136,0,332,19,15,13,0,47,2616,
R T Jones,Cherokee,2525,180,666,174,1,1021,95,249,169,0,513,12,9,7,0,28,1562,
Rosecreek,Cherokee,3748,478,1130,363,0,1971,148,405,369,0,922,23,22,15,0,60,2953,
Salacoa,Cherokee,727,273,121,60,0,454,22,16,31,0,69,3,1,1,0,5,528,
Sixes,Cherokee,3101,417,982,388,0,1787,79,312,317,0,708,15,9,14,0,38,2533,
Sutallee,Cherokee,2540,693,753,250,0,1696,102,123,98,1,324,6,6,12,0,24,2044,
Teasley,Cherokee,7981,1061,2567,698,0,4326,285,786,591,1,1663,46,35,17,0,98,6087,
Toonigh,Cherokee,6641,673,2109,647,0,3429,210,805,584,0,1599,21,35,29,0,85,5113,
Union Hill,Cherokee,4207,789,1416,487,1,2693,122,288,301,1,712,17,14,17,0,48,3453,
Univeter,Cherokee,5434,565,2010,592,0,3167,108,436,319,0,863,16,28,14,0,58,4088,
Victoria,Cherokee,3132,540,854,283,0,1677,118,284,197,0,599,22,12,10,0,44,2320,
Waleska,Cherokee,2875,559,772,378,0,1709,74,176,274,0,524,10,5,5,0,20,2253,
Wildcat,Cherokee,3215,503,1009,244,0,1756,118,295,200,0,613,16,12,12,0,40,2409,
Woodlands,Cherokee,3456,595,668,290,0,1553,280,382,416,0,1078,29,9,15,0,53,2684,
Woodstock,Cherokee,7345,614,1699,640,1,2954,310,1046,766,2,2124,35,35,28,0,98,5176,
