Precinct,County,Registered Voters,Sally Ann Sims (Rep)_Election Day Votes,Sally Ann Sims (Rep)_Advanced Voting Votes,Sally Ann Sims (Rep)_Absentee by Mail Votes,Sally Ann Sims (Rep)_Provisional Votes,Sally Ann Sims (Rep)_Choice Total,Total,
Air Acres,Cherokee,3050,505,920,469,2,1896,1896,
Arnold Mill,Cherokee,4884,865,1672,740,0,3277,3277,
Avery,Cherokee,3592,486,1517,564,0,2567,2567,
Ball Ground,Cherokee,4065,545,1811,389,1,2746,2746,
Bascomb,Cherokee,4115,661,1361,524,0,2546,2546,
Bells,Cherokee,5906,782,1615,763,1,3161,3161,
Booth,Cherokee,3899,467,1457,608,0,2532,2532,
Bradshaw,Cherokee,4491,541,1866,719,0,3126,3126,
Bridgemill,Cherokee,5113,692,2076,712,0,3480,3480,
Canton,Cherokee,8213,749,2554,1349,0,4652,4652,
Carmel,Cherokee,4581,671,1110,595,3,2379,2379,
Clayton,Cherokee,4906,786,1816,657,1,3260,3260,
Conns Creek,Cherokee,895,269,287,73,0,629,629,
Deer Run,Cherokee,3035,648,839,397,1,1885,1885,
Dixie,Cherokee,5733,713,1664,788,0,3165,3165,
Freehome,Cherokee,5790,754,2370,910,0,4034,4034,
Hickory Flat,Cherokee,7334,858,2991,1018,1,4868,4868,
Hightower,Cherokee,3483,511,1498,458,0,2467,2467,
Hillside,Cherokee,3155,415,1239,491,0,2145,2145,
Holly Springs,Cherokee,3262,512,1015,354,1,1882,1882,
Kellogg,Cherokee,5482,885,1513,628,2,3028,3028,
Liberty,Cherokee,8350,928,2920,1068,0,4916,4916,
Little River,Cherokee,7480,780,2299,1510,1,4590,4590,
Macedonia,Cherokee,4853,701,2052,707,0,3460,3460,
Mountain Road,Cherokee,3078,616,1028,423,1,2068,2068,
Neese,Cherokee,7642,906,2325,1146,1,4378,4378,
Oak Grove,Cherokee,3749,641,1032,501,0,2174,2174,
R M Moore,Cherokee,3468,685,1239,419,0,2343,2343,
R T Jones,Cherokee,2525,241,796,263,1,1301,1301,
Rosecreek,Cherokee,3748,574,1349,509,0,2432,2432,
Salacoa,Cherokee,727,273,131,69,0,473,473,
Sixes,Cherokee,3101,465,1118,497,0,2080,2080,
Sutallee,Cherokee,2540,733,804,288,1,1826,1826,
Teasley,Cherokee,7981,1247,2967,969,0,5183,5183,
Toonigh,Cherokee,6641,784,2516,889,0,4189,4189,
Union Hill,Cherokee,4207,855,1546,608,2,3011,3011,
Univeter,Cherokee,5434,628,2208,695,0,3531,3531,
Victoria,Cherokee,3132,610,1001,358,0,1969,1969,
Waleska,Cherokee,2875,595,833,478,0,1906,1906,
Wildcat,Cherokee,3215,570,1145,323,0,2038,2038,
Woodlands,Cherokee,3456,758,859,486,0,2103,2103,
Woodstock,Cherokee,7345,825,2229,957,2,4013,4013,
