Precinct,County,Registered Voters,Kyla Cromer (I) (Rep)_Election Day Votes,Kyla Cromer (I) (Rep)_Advanced Voting Votes,Kyla Cromer (I) (Rep)_Absentee by Mail Votes,Kyla Cromer (I) (Rep)_Provisional Votes,Kyla Cromer (I) (Rep)_Choice Total,Total,
Air Acres,Cherokee,3050,505,915,458,2,1880,1880,
Arnold Mill,Cherokee,4884,864,1663,722,0,3249,3249,
Avery,Cherokee,3592,482,1509,555,0,2546,2546,
Ball Ground,Cherokee,4065,545,1802,385,1,2733,2733,
Bascomb,Cherokee,4115,654,1357,512,0,2523,2523,
Bells,Cherokee,5906,783,1596,756,1,3136,3136,
Booth,Cherokee,3899,464,1443,593,0,2500,2500,
Bradshaw,Cherokee,4491,533,1872,713,0,3118,3118,
Bridgemill,Cherokee,5113,688,2069,709,0,3466,3466,
Canton,Cherokee,8213,752,2546,1322,0,4620,4620,
Carmel,Cherokee,4581,666,1095,583,3,2347,2347,
Clayton,Cherokee,4906,786,1815,653,1,3255,3255,
Conns Creek,Cherokee,895,268,288,72,0,628,628,
Deer Run,Cherokee,3035,649,825,396,1,1871,1871,
Dixie,Cherokee,5733,713,1653,777,0,3143,3143,
Freehome,Cherokee,5790,749,2357,895,0,4001,4001,
Hickory Flat,Cherokee,7334,848,2957,999,1,4805,4805,
Hightower,Cherokee,3483,513,1491,452,0,2456,2456,
Hillside,Cherokee,3155,413,1218,477,0,2108,2108,
Holly Springs,Cherokee,3262,506,1000,348,1,1855,1855,
Kellogg,Cherokee,5482,882,1508,623,2,3015,3015,
Liberty,Cherokee,8350,926,2896,1049,0,4871,4871,
Little River,Cherokee,7480,783,2289,1458,1,4531,4531,
Macedonia,Cherokee,4853,694,2037,699,0,3430,3430,
Mountain Road,Cherokee,3078,607,1016,412,1,2036,2036,
Neese,Cherokee,7642,899,2316,1133,1,4349,4349,
Oak Grove,Cherokee,3749,640,1020,495,0,2155,2155,
R M Moore,Cherokee,3468,683,1231,420,0,2334,2334,
R T Jones,Cherokee,2525,239,795,246,1,1281,1281,
Rosecreek,Cherokee,3748,574,1337,498,0,2409,2409,
Salacoa,Cherokee,727,274,132,69,0,475,475,
Sixes,Cherokee,3101,457,1113,483,0,2053,2053,
Sutallee,Cherokee,2540,728,803,277,1,1809,1809,
Teasley,Cherokee,7981,1237,2949,959,0,5145,5145,
Toonigh,Cherokee,6641,788,2493,858,0,4139,4139,
Union Hill,Cherokee,4207,852,1533,598,2,2985,2985,
Univeter,Cherokee,5434,632,2200,666,0,3498,3498,
Victoria,Cherokee,3132,608,998,353,0,1959,1959,
Waleska,Cherokee,2875,596,828,470,0,1894,1894,
Wildcat,Cherokee,3215,562,1141,314,0,2017,2017,
Woodlands,Cherokee,3456,759,851,482,0,2092,2092,
Woodstock,Cherokee,7345,825,2211,938,1,3975,3975,
