Precinct,County,Registered Voters,Patsy Jordan (I) (Rep)_Election Day Votes,Patsy Jordan (I) (Rep)_Advanced Voting Votes,Patsy Jordan (I) (Rep)_Absentee by Mail Votes,Patsy Jordan (I) (Rep)_Provisional Votes,Patsy Jordan (I) (Rep)_Choice Total,Total,
Avery,Cherokee,3592,487,1511,555,0,2553,2553,
Ball Ground,Cherokee,4065,546,1820,385,0,2751,2751,
Clayton,Cherokee,4906,785,1813,651,0,3249,3249,
Conns Creek,Cherokee,895,269,290,72,0,631,631,
Freehome,Cherokee,5790,752,2370,904,0,4026,4026,
Hightower,Cherokee,3483,510,1494,450,0,2454,2454,
Macedonia,Cherokee,4853,698,2047,705,0,3450,3450,
R T Jones,Cherokee,2525,3,21,2,0,26,26,
Union Hill,Cherokee,4207,852,1539,601,2,2994,2994,
Univeter,Cherokee,5434,351,1458,413,0,2222,2222,
