Precinct,County,Registered Voters,"Robert S. Lovein, Jr. (I) (Rep)_Election Day Votes","Robert S. Lovein, Jr. (I) (Rep)_Advanced Voting Votes","Robert S. Lovein, Jr. (I) (Rep)_Absentee by Mail Votes","Robert S. Lovein, Jr. (I) (Rep)_Provisional Votes","Robert S. Lovein, Jr. (I) (Rep)_Choice Total",Total,
West Berrien,Berrien,999,341,283,102,1,727,727,
Ray City,Berrien,1946,383,635,167,1,1186,1186,
Nashville,Berrien,6079,636,2649,530,2,3817,3817,
Enigma,Berrien,1111,343,249,80,4,676,676,
Alapaha,Berrien,1140,329,304,88,1,722,722,
