Precinct,County,Registered Voters,Shawna Hughes (I) (Rep)_Election Day Votes,Shawna Hughes (I) (Rep)_Advanced Voting Votes,Shawna Hughes (I) (Rep)_Absentee by Mail Votes,Shawna Hughes (I) (Rep)_Provisional Votes,Shawna Hughes (I) (Rep)_Choice Total,Total,
West Berrien,Berrien,999,339,284,99,1,723,723,
Ray City,Berrien,1946,381,631,165,1,1178,1178,
Nashville,Berrien,6079,630,2625,511,2,3768,3768,
Enigma,Berrien,1111,343,249,78,4,674,674,
Alapaha,Berrien,1140,328,292,84,1,705,705,
