Precinct,County,Registered Voters,Hollis Harrison (Rep)_Election Day Votes,Hollis Harrison (Rep)_Advanced Voting Votes,Hollis Harrison (Rep)_Absentee by Mail Votes,Hollis Harrison (Rep)_Provisional Votes,Hollis Harrison (Rep)_Choice Total,Total,
101,Putnam,3264,249,1070,399,0,1718,1718,
104,Putnam,3380,237,1060,458,0,1755,1755,
105,Putnam,3734,448,1578,743,0,2769,2769,
106,Putnam,1332,314,442,178,0,934,934,
107,Putnam,4293,586,1604,730,0,2920,2920,
