index,County,Precinct,Registered Voters,Eddie J. Walden (I) (Dem)_Election Day Votes,Eddie J. Walden (I) (Dem)_Advanced Voting Votes,Eddie J. Walden (I) (Dem)_Absentee by Mail Votes,Eddie J. Walden (I) (Dem)_Provisional Votes,Eddie J. Walden (I) (Dem)_Choice Total,Total,
0,Liberty,Lewis Frasier School,4317,19,88,44,0,151,151,
1,Liberty,Memorial Dr East,1976,0,9,2,0,11,11,
2,Liberty,Button Gwinnett,2304,41,69,46,0,156,156,
3,Liberty,Hinesville,1984,132,559,269,0,960,960,
4,Liberty,Hinesville Lodge 271,2646,99,226,104,0,429,429,
