index,County,Precinct,Registered Voters,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,86,265,155,0,506,506,
1,Liberty,Lyman Hall School,4542,335,955,556,0,1846,1846,
2,Liberty,Lewis Frasier School,4317,282,1280,610,0,2172,2172,
3,Liberty,Memorial Dr East,1976,121,410,263,3,797,797,
4,Liberty,Button Gwinnett,2304,129,192,109,0,430,430,
5,Liberty,Town of Allenhurst,2398,190,702,322,0,1214,1214,
6,Liberty,Hinesville,1984,123,496,224,0,843,843,
7,Liberty,Liberty County Complex,4379,261,1337,487,0,2085,2085,
8,Liberty,Walthourville,3016,207,808,335,0,1350,1350,
9,Liberty,Fleming West,505,48,130,74,0,252,252,
10,Liberty,Fleming East,3239,321,891,319,0,1531,1531,
11,Liberty,Gum Branch,3193,259,704,326,1,1290,1290,
12,Liberty,Hinesville Lodge 271,2646,219,601,377,0,1197,1197,
