Precinct,County,Registered Voters,Keith Dunn (Rep)_Election Day Votes,Keith Dunn (Rep)_Advanced Voting Votes,Keith Dunn (Rep)_Absentee by Mail Votes,Keith Dunn (Rep)_Provisional Votes,Keith Dunn (Rep)_Choice Total,Total,
Legacy Bapt Church,Paulding,4443,401,1343,611,4,2359,2359,
Watson Govt Cmplx,Paulding,10774,164,515,214,2,895,895,
West Ridge Church,Paulding,11546,1235,4211,1522,5,6973,6973,
Events Place,Paulding,4923,123,374,150,1,648,648,
Poplar Sprgs Bapt Church,Paulding,4825,208,781,274,0,1263,1263,
Nebo Elem School,Paulding,10070,87,266,83,1,437,437,
White Oak Park,Paulding,5833,341,1093,341,5,1780,1780,
Picketts Mill Baptist Church,Paulding,2748,186,565,204,0,955,955,
