Precinct,County,Registered Voters,Lindsey Eberhart (I) (Rep)_Election Day Votes,Lindsey Eberhart (I) (Rep)_Advanced Voting Votes,Lindsey Eberhart (I) (Rep)_Absentee by Mail Votes,Lindsey Eberhart (I) (Rep)_Provisional Votes,Lindsey Eberhart (I) (Rep)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,691,3004,728,5,4428,4428,
Crossroads Library,Paulding,3662,367,1672,520,1,2560,2560,
Shelton Elementary,Paulding,5095,565,1970,593,3,3131,3131,
Russom Elementary,Paulding,8243,831,3255,1336,6,5428,5428,
Paulding Sr Center,Paulding,5972,615,2193,627,6,3441,3441,
Legacy Bapt Church,Paulding,4443,400,1340,633,3,2376,2376,
Watson Govt Cmplx,Paulding,10774,886,3447,1233,9,5575,5575,
West Ridge Church,Paulding,11546,1241,4216,1560,5,7022,7022,
Events Place,Paulding,4923,374,1267,553,3,2197,2197,
Poplar Sprgs Bapt Church,Paulding,4825,393,1377,509,0,2279,2279,
D Wright Innovation Ctr,Paulding,7137,635,2691,603,2,3931,3931,
Nebo Elem School,Paulding,10070,1260,3691,1025,4,5980,5980,
White Oak Park,Paulding,5833,640,1985,611,8,3244,3244,
Mulberry Rock Park,Paulding,5911,774,2488,693,5,3960,3960,
Beulahland Baptist Church,Paulding,2547,404,998,234,3,1639,1639,
Paulding County Airport,Paulding,4132,613,1479,425,5,2522,2522,
Picketts Mill Baptist Church,Paulding,2748,343,1092,366,1,1802,1802,
Taylor Farm Park,Paulding,2761,231,944,347,0,1522,1522,
Dobbins Middle School,Paulding,8081,583,2727,859,2,4171,4171,
