Precinct,County,Registered Voters,L. James Kelly_Election Day Votes,L. James Kelly_Advanced Voting Votes,L. James Kelly_Absentee by Mail Votes,L. James Kelly_Provisional Votes,L. James Kelly_Choice Total,Narda Konchel_Election Day Votes,Narda Konchel_Advanced Voting Votes,Narda Konchel_Absentee by Mail Votes,Narda Konchel_Provisional Votes,Narda Konchel_Choice Total,Total,
Legacy Bapt Church,Paulding,4443,35,114,65,0,214,27,77,46,1,151,365,
Watson Govt Cmplx,Paulding,10774,392,1346,536,4,2278,217,881,356,3,1457,3735,
Poplar Sprgs Bapt Church,Paulding,4825,0,1,0,0,1,0,0,0,0,0,1,
White Oak Park,Paulding,5833,59,178,66,1,304,44,199,84,1,328,632,
