Precinct,County,Registered Voters,Theresa Lyons (I) (Rep)_Election Day Votes,Theresa Lyons (I) (Rep)_Advanced Voting Votes,Theresa Lyons (I) (Rep)_Absentee by Mail Votes,Theresa Lyons (I) (Rep)_Provisional Votes,Theresa Lyons (I) (Rep)_Choice Total,Omassis Mendonca (Dem)_Election Day Votes,Omassis Mendonca (Dem)_Advanced Voting Votes,Omassis Mendonca (Dem)_Absentee by Mail Votes,Omassis Mendonca (Dem)_Provisional Votes,Omassis Mendonca (Dem)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,625,2799,640,4,4068,105,443,236,2,786,4854,
Crossroads Library,Paulding,3662,331,1502,430,1,2264,74,388,299,0,761,3025,
Shelton Elementary,Paulding,5095,481,1653,439,3,2576,159,748,427,0,1334,3910,
Russom Elementary,Paulding,8243,707,2838,1055,5,4605,201,948,793,2,1944,6549,
Paulding Sr Center,Paulding,5972,504,1841,436,4,2785,199,842,495,2,1538,4323,
Legacy Bapt Church,Paulding,4443,328,1080,467,1,1876,134,588,395,4,1121,2997,
Watson Govt Cmplx,Paulding,10774,656,2726,848,8,4238,381,1552,919,3,2855,7093,
West Ridge Church,Paulding,11546,1036,3662,1214,3,5915,309,1227,878,2,2416,8331,
Events Place,Paulding,4923,237,772,310,3,1322,240,1119,726,3,2088,3410,
Poplar Sprgs Bapt Church,Paulding,4825,265,953,305,0,1523,237,964,543,1,1745,3268,
D Wright Innovation Ctr,Paulding,7137,502,2235,384,2,3123,244,1030,585,1,1860,4983,
Nebo Elem School,Paulding,10070,1105,3310,787,4,5206,261,888,625,6,1780,6986,
White Oak Park,Paulding,5833,505,1670,450,7,2632,208,711,443,2,1364,3996,
Mulberry Rock Park,Paulding,5911,709,2324,601,4,3638,106,361,223,1,691,4329,
Beulahland Baptist Church,Paulding,2547,372,902,186,3,1463,53,186,124,0,363,1826,
Paulding County Airport,Paulding,4132,543,1326,323,3,2195,106,313,229,2,650,2845,
Picketts Mill Baptist Church,Paulding,2748,307,967,287,0,1561,66,264,232,1,563,2124,
Taylor Farm Park,Paulding,2761,172,783,293,0,1248,104,395,192,0,691,1939,
Dobbins Middle School,Paulding,8081,420,2051,519,2,2992,338,1523,933,2,2796,5788,
