Precinct,County,Registered Voters,Dianne C. Renfroe (I) (Dem)_Election Day Votes,Dianne C. Renfroe (I) (Dem)_Advanced Voting Votes,Dianne C. Renfroe (I) (Dem)_Absentee by Mail Votes,Dianne C. Renfroe (I) (Dem)_Provisional Votes,Dianne C. Renfroe (I) (Dem)_Choice Total,Total,
Precinct 1,Taylor,1108,137,332,141,2,612,612,
Precinct 5,Taylor,2219,161,882,174,4,1221,1221,
Precinct 6,Taylor,2073,209,692,339,2,1242,1242,
