Precinct,County,Registered Voters,Lonnie Robinson (I) (Dem)_Election Day Votes,Lonnie Robinson (I) (Dem)_Advanced Voting Votes,Lonnie Robinson (I) (Dem)_Absentee by Mail Votes,Lonnie Robinson (I) (Dem)_Provisional Votes,Lonnie Robinson (I) (Dem)_Choice Total,Total,
Hartwell,Hart,6451,175,491,241,0,907,907,
Cokesbury,Hart,1162,144,224,111,0,479,479,
Bio,Hart,1374,21,74,40,0,135,135,
