Precinct,County,Registered Voters,Abie Baker_Election Day Votes,Abie Baker_Advanced Voting Votes,Abie Baker_Absentee by Mail Votes,Abie Baker_Provisional Votes,Abie Baker_Choice Total,Total,
Hartwell,Hart,6451,581,2388,804,1,3774,3774,
Goldmine,Hart,1901,366,620,205,0,1191,1191,
Cokesbury,Hart,1162,183,334,122,0,639,639,
Reed Creek,Hart,2990,463,1147,372,1,1983,1983,
Bowersville,Hart,1395,313,426,84,0,823,823,
Shoal Creek,Hart,1656,354,536,202,0,1092,1092,
Bio,Hart,1374,250,485,128,0,863,863,
